ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID	NewCogID	
1	Gongxing	all	1	ʦʰæ₂₂ja₄₂	ʦʰ æ ₂₂ j a ₄₂	1	225	
2	Jinman	all	1	da₄₂t͡ʂɚ₂₂	d a ₄₂ t͡ʂ ɚ ₂₂	5	42	
3	Mazhelong	all	1	so₂₁ji₂₁	s o ₂₁ j i ₂₁	3	92	
4	Dashi	all	1	ʨwan₄₂pu₅₅	ʨ w a n ₄₂ p u ₅₅	2	152	
5	Zhoucheng	all	1	ji₃₁su₃₃	j i ₃₁ s u ₃₃	6	213	
6	Jinxing	all	1	ʦa₃₅kɑ₂₁ʦi₃₃	ʦ a ₃₅ k ɑ ₂₁ ʦ i ₃₃	1	47	
7	Tuolo	all	1	ʨʰa₅₅	ʨʰ a ₅₅	4	186	
8	Enqi	all	1	ʨa₂₄ʁo₂₁ʦi₂₂	ʨ a ₂₄ ʁ o ₂₁ ʦ i ₂₂	1	47	
9	Ega	all	1	da₅₅ŋwa₂₂	d a ₅₅ ŋ w a ₂₂	5	39	
10	Gongxing	ashes	2	xwɛ₂₂ɕy₅₅ʁwa₁₂	x w ɛ ₂₂ ɕ y ₅₅ ʁ w a ₁₂	7	139	
11	Jinman	ashes	2	kʰwa₅₅la₂₁ɕu₅₅	kʰ w a ₅₅ l a ₂₁ ɕ u ₅₅	7	143	
12	Mazhelong	ashes	2	xwa₃₁la₄₄su₅₅	x w a ₃₁ l a ₄₄ s u ₅₅	7	143	
13	Zhoucheng	ashes	2	su₅₅	s u ₅₅	7	126	
14	Jinxing	ashes	2	su₅₅	s u ₅₅	7	126	
15	Tuolo	ashes	2	ʂɤ₅₅	ʂ ɤ ₅₅	7	126	
16	Enqi	ashes	2	xwi₂₂ɕu₂₄	x w i ₂₂ ɕ u ₂₄	7	143	
17	Ega	ashes	2	xwa₅₅lo₂₁ɕu₅₅	x w a ₅₅ l o ₂₁ ɕ u ₅₅	7	143	
18	Gongxing	bark	3	d͡ʐi₁₂bi₂₁	d͡ʐ i ₁₂ b i ₂₁	8	279	
19	Mazhelong	bark	3	ɕen₅₅pe₂₁	ɕ e n ₅₅ p e ₂₁	8	176	
20	Dashi	bark	3	t͡ʂɯ₂₁pe₂₁	t͡ʂ ɯ ₂₁ p e ₂₁	8	279	
21	Zhoucheng	bark	3	ʦɯ₃₁pe₂₁	ʦ ɯ ₃₁ p e ₂₁	8	279	
22	Jinxing	bark	3	ʦɯ₃₁pe₂₁	ʦ ɯ ₃₁ p e ₂₁	8	279	
23	Tuolo	bark	3	djɯ₂₁bi₃₅	d j ɯ ₂₁ b i ₃₅	8	279	
24	Enqi	bark	3	djɯ₄₃pi₂₁	d j ɯ ₄₃ p i ₂₁	8	279	
25	Ega	bark	3	ʥi₄₂ʨyj₂₁qa₅₅	ʥ i ₄₂ ʨ y j ₂₁ q a ₅₅	9	185	
26	Gongxing	belly	4	ʐi₂₁	ʐ i ₂₁	11	74	
27	Jinman	belly	4	ʐɚ₄₂	ʐ ɚ ₄₂	11	41	
28	Mazhelong	belly	4	pɯ₄₄	p ɯ ₄₄	12	219	
29	Dashi	belly	4	fo₄₄	f o ₄₄	12	219	
30	Zhoucheng	belly	4	fɤ₄₄	f ɤ ₄₄	12	219	
31	Jinxing	belly	4	fɤ₄₄	f ɤ ₄₄	12	219	
32	Tuolo	belly	4	fɚ₄₂	f ɚ ₄₂	12	219	
33	Enqi	belly	4	fo₂₄	f o ₂₄	12	219	
34	Ega	belly	4	xu₄₄qʰo₂₂	x u ₄₄ qʰ o ₂₂	10	13	
35	Gongxing	big	5	da₄₂	d a ₄₂	13	275	
36	Jinman	big	5	do₄₂	d o ₄₂	13	275	
37	Mazhelong	big	5	do₄₂	d o ₄₂	13	275	
38	Dashi	big	5	tow₄₂	t o w ₄₂	13	275	
39	Zhoucheng	big	5	to₄₂	t o ₄₂	13	275	
40	Jinxing	big	5	tow₄₂	t o w ₄₂	13	275	
41	Tuolo	big	5	dɔ₂₁	d ɔ ₂₁	13	275	
42	Enqi	big	5	da₄₃	d a ₄₃	13	275	
43	Ega	big	5	do₄₂	d o ₄₂	13	275	
44	Gongxing	bird	6	ʦu₂₄	ʦ u ₂₄	14	236	
45	Jinman	bird	6	ʦo₅₅	ʦ o ₅₅	14	236	
46	Mazhelong	bird	6	ʦo₄₄	ʦ o ₄₄	14	236	
47	Dashi	bird	6	ʦow₃₃	ʦ o w ₃₃	14	236	
48	Zhoucheng	bird	6	ʦow₄₄	ʦ o w ₄₄	14	236	
49	Jinxing	bird	6	ʦow₄₄	ʦ o w ₄₄	14	236	
50	Tuolo	bird	6	ʦu₄₂	ʦ u ₄₂	14	236	
51	Enqi	bird	6	ʦu₅₅	ʦ u ₅₅	14	236	
52	Ega	bird	6	ʦu₄₄	ʦ u ₄₄	14	236	
53	Gongxing	bite (V)	7	ŋa₂₄	ŋ a ₂₄	15	261	
54	Jinman	bite (V)	7	ŋa₄₄	ŋ a ₄₄	15	261	
55	Mazhelong	bite (V)	7	ŋɑ₄₄	ŋ ɑ ₄₄	15	261	
56	Dashi	bite (V)	7	ɣaŋ₄₄	ɣ a ŋ ₄₄	15	89	
57	Zhoucheng	bite (V)	7	ŋa₄₄	ŋ a ₄₄	15	261	
58	Jinxing	bite (V)	7	ɑ̃₄₄	ɑ̃ ₄₄	15	108	
59	Tuolo	bite (V)	7	ŋɔ₄₂	ŋ ɔ ₄₂	15	261	
60	Enqi	bite (V)	7	ɴa₅₅	ɴ a ₅₅	15	261	
61	Ega	bite (V)	7	ŋo₄₄	ŋ o ₄₄	15	261	
62	Gongxing	black	8	χe₂₄	χ e ₂₄	16	110	
63	Jinman	black	8	xɯ₅₅	x ɯ ₅₅	16	272	
64	Mazhelong	black	8	xɯ₄₄	x ɯ ₄₄	16	272	
65	Dashi	black	8	xɯ₄₄	x ɯ ₄₄	16	272	
66	Zhoucheng	black	8	xɯ₄₄	x ɯ ₄₄	16	272	
67	Jinxing	black	8	xɯ₄₄	x ɯ ₄₄	16	272	
68	Tuolo	black	8	xɚ₄₂	x ɚ ₄₂	16	272	
69	Enqi	black	8	χɯ₅₅	χ ɯ ₅₅	16	272	
70	Ega	black	8	xɯ₄₄	x ɯ ₄₄	16	272	
71	Gongxing	blood	9	swa₂₄	s w a ₂₄	17	305	
72	Jinman	blood	9	swa₅₅	s w a ₅₅	17	305	
73	Mazhelong	blood	9	swa₄₄	s w a ₄₄	17	305	
74	Dashi	blood	9	sʰwa₄₄	sʰ w a ₄₄	17	305	
75	Zhoucheng	blood	9	swa₄₄	s w a ₄₄	17	305	
76	Jinxing	blood	9	swɑ₄₄	s w ɑ ₄₄	17	305	
77	Tuolo	blood	9	swɔ₄₂	s w ɔ ₄₂	17	305	
78	Enqi	blood	9	swa₅₅	s w a ₅₅	17	305	
79	Ega	blood	9	swa₄₄	s w a ₄₄	17	305	
80	Gongxing	bone	10	qwa₂₄	q w a ₂₄	18	163	
81	Jinman	bone	10	qwa₅₅ʦe₅₅	q w a ₅₅ ʦ e ₅₅	18	163	
82	Mazhelong	bone	10	kwa₄₄twɤ₄₄	k w a ₄₄ t w ɤ ₄₄	18	163	
83	Dashi	bone	10	kwa₄₄tjǝ₃₃	k w a ₄₄ t j ǝ ₃₃	18	163	
84	Zhoucheng	bone	10	kwa₄₄tɯ₃₃	k w a ₄₄ t ɯ ₃₃	18	163	
85	Jinxing	bone	10	kwɑ₄₄tǝ₄₂	k w ɑ ₄₄ t ǝ ₄₂	18	163	
86	Tuolo	bone	10	ku₄₂djɯ₃₅ʦɛ₄₂	k u ₄₂ d j ɯ ₃₅ ʦ ɛ ₄₂	18	295	
87	Enqi	bone	10	qwa₅₅	q w a ₅₅	18	163	
88	Ega	bone	10	qwa₄₄	q w a ₄₄	18	163	
89	Gongxing	breast	11	ba₂₁	b a ₂₁	20	191	
90	Jinman	breast	11	pa₄₂	p a ₄₂	20	191	
91	Mazhelong	breast	11	noŋ₃₃	n o ŋ ₃₃	19	18	
92	Dashi	breast	11	pa₄₂	p a ₄₂	20	191	
93	Zhoucheng	breast	11	pa₄₂	p a ₄₂	20	191	
94	Jinxing	breast	11	pɑ₄₂	p ɑ ₄₂	20	191	
95	Tuolo	breast	11	bo₄₂	b o ₄₂	20	191	
96	Enqi	breast	11	pa₂₁	p a ₂₁	20	191	
97	Ega	breast	11	pa₄₂	p a ₄₂	20	191	
98	Gongxing	burn (V)	12	ɕy₂₂	ɕ y ₂₂	24	253	
99	Jinman	burn (V)	12	fɤ₅₅ji₅₅	f ɤ ₅₅ j i ₅₅	21	30	
100	Mazhelong	burn (V)	12	sɤ₅₅	s ɤ ₅₅	24	253	
101	Dashi	burn (V)	12	ʂu₅₅	ʂ u ₅₅	24	253	
102	Zhoucheng	burn (V)	12	ɲɯ₃₃	ɲ ɯ ₃₃	23	6	
103	Jinxing	burn (V)	12	jĩ₃₃	j ĩ ₃₃	23	264	
104	Tuolo	burn (V)	12	jen₃₃	j e n ₃₃	23	45	
105	Enqi	burn (V)	12	xu₂₄	x u ₂₄	22	54	
106	Ega	burn (V)	12	fi₂₂pɛ₂₂	f i ₂₂ p ɛ ₂₂	21	43	
107	Gongxing	burn (V)	12	ɕy₅₅	ɕ y ₅₅	24	253	
108	Mazhelong	burn (V)	12	fi₃₃kʰǝɯ₅₅	f i ₃₃ kʰ ǝɯ ₅₅	21	43	
109	Zhoucheng	burn (V)	12	su₅₅	s u ₅₅	24	253	
