ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID	NewCogID	
1	Miyako	I	1	ban	b a n	1	336	
2	Tōkyō	I	1	watasi	w a t a s i	2	46	
3	Amami	I	1	waɴ	w a ɴ	1	336	
4	Kyōto	I	1	wate	w a t e	2	336	
5	Hachijō	I	1	ware	w a r e	1	336	
6	Shuri	I	1	waɴ	w a ɴ	1	336	
7	Kōchi	I	1	asi	a s i	2	275	
8	Sado	I	1	ore	o r e	3	209	
9	Oki	I	1	ora	o r a	3	209	
10	Kagoshima	I	1	oiː	oiː	3	209	
11	Miyako	thou	2	vːa	vː a	10	211	
12	Tōkyō	thou	2	anata	a n a t a	5	129	
13	Amami	thou	2	ʔʲa	ʔʲ a	10	211	
14	Kyōto	thou	2	aɴta	a ɴ t a	5	188	
15	Hachijō	thou	2	omi	o m i	4	257	
16	Shuri	thou	2	ʔʲaː	ʔʲ aː	10	211	
17	Kōchi	thou	2	oɴsi	o ɴ s i	7	69	
18	Sado	thou	2	ɴna	ɴ n a	6	265	
19	Oki	thou	2	omae	o m ae	8	257	
20	Kagoshima	thou	2	waiː	w aiː	9	43	
21	Miyako	we	3	bantiː	b a n t iː	11	9	
22	Tōkyō	we	3	watasitaʨi	w a t a s i t a ʨ i	12	106	
23	Amami	we	3	waxja	w a x j a	11	426	
24	Kyōto	we	3	watera	w a t e r a	12	195	
25	Hachijō	we	3	wareɴisa	w a r e ɴ i s a	11	274	
26	Shuri	we	3	watːaː	w a tː aː	11	426	
27	Kōchi	we	3	asiraː	a s i r aː	12	195	
28	Sado	we	3	oraʨi	o r a ʨ i	13	90	
29	Oki	we	3	orara	o r a r a	13	252	
30	Kagoshima	we	3	oidoɴ	oi d o ɴ	13	226	
31	Miyako	this	4	kuri	k u r i	14	324	
32	Tōkyō	this	4	kore	k o r e	14	324	
33	Amami	this	4	xurɨ	x u r ɨ	14	324	
34	Kyōto	this	4	kore	k o r e	14	324	
35	Hachijō	this	4	kore	k o r e	14	324	
36	Shuri	this	4	kuri	k u r i	14	324	
37	Kōchi	this	4	kore	k o r e	14	324	
38	Sado	this	4	kore	k o r e	14	324	
39	Oki	this	4	kore	k o r e	14	324	
40	Kagoshima	this	4	koiː	k oiː	14	324	
41	Miyako	that	5	kari	k a r i	16	422	
42	Tōkyō	that	5	are	a r e	15	422	
43	Amami	that	5	ʔarɨ	ʔ a r ɨ	15	422	
44	Kyōto	that	5	are	a r e	15	422	
45	Hachijō	that	5	ore	o r e	17	422	
46	Shuri	that	5	ʔari	ʔ a r i	15	422	
47	Kōchi	that	5	are	a r e	15	422	
48	Sado	that	5	are	a r e	15	422	
49	Oki	that	5	are	a r e	15	422	
50	Kagoshima	that	5	aiː	aiː	15	422	
51	Miyako	who	6	taru	t a r u	18	403	
52	Tōkyō	who	6	dare	d a r e	18	403	
53	Amami	who	6	θaru	θ a r u	18	403	
54	Kyōto	who	6	dare	d a r e	18	403	
55	Hachijō	who	6	dare	d a r e	18	403	
56	Shuri	who	6	taː	t aː	18	140	
57	Kōchi	who	6	dare	d a r e	18	403	
58	Sado	who	6	dare	d a r e	18	403	
59	Oki	who	6	dare	d a r e	18	403	
60	Kagoshima	who	6	daiː	d aiː	18	403	
61	Miyako	what	7	nau	n au	21	417	
62	Tōkyō	what	7	nani	n a n i	20	417	
63	Amami	what	7	nuː	n uː	21	417	
