ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID	NewCogID	
1	North Mansi	all	1	pusən	p u s ə n	1	64	
2	Middle Lozva Mansi	all	1	puʃn	p u ʃ n	1	64	
3	Lower Lozva Mansi	all	1	ʃaq	ʃ a q	2	33	
4	Pelymka Mansi	all	1	ʃoq	ʃ o q	2	33	
5	Konda Mansi	all	1	soq	s o q	2	33	
6	Tavda Mansi	all	1	ʃɔχ	ʃ ɔ χ	2	33	
7	Vakh Khanty	all	1	ejnæːm	e j n æː m	3	131	
8	Verkhne-Kalymsk Khanty	all	1	ejnæːm	e j n æː m	3	131	
9	Vartovskoje Khanty	all	1	ejnæːm	e j n æː m	3	131	
10	Likrisovskoje Khanty	all	1	ejnæːm	e j n æː m	3	131	
11	Malyj Jugan Khanty	all	1	ejnæːm	e j n æː m	3	131	
12	Tremjugan Khanty	all	1	ejnæːm	e j n æː m	3	131	
13	Jugan Khanty	all	1	ejnæːm	e j n æː m	3	131	
14	Upper Demjanka Khanty	all	1	χarnaː	χ a r n aː	4	118	
15	Konda Khanty	all	1	pertæː	p e r t æː	5	7	
16	Nizjam Khanty	all	1	isaχaːt	i s a χ aː t	6	157	
17	Sherkaly Khanty	all	1	isaːt	i s aː t	6	157	
18	Kazym Khanty	all	1	isaː	i s aː	6	157	
19	Synja Khanty	all	1	isaː	i s aː	6	157	
20	North Mansi	ashes	2	χuʎəm	χ u ʎ ə m	8	91	
21	Middle Lozva Mansi	ashes	2	quʎəm	q u ʎ ə m	8	91	
22	Lower Lozva Mansi	ashes	2	quʎəm	q u ʎ ə m	8	91	
23	Konda Mansi	ashes	2	quʎəm	q u ʎ ə m	8	91	
24	Tavda Mansi	ashes	2	qoːʎəm	q oː ʎ ə m	8	91	
25	Vakh Khanty	ashes	2	pæːr	p æː r	9	31	
26	Vasjugan Khanty	ashes	2	pæːr	p æː r	9	31	
27	Tremjugan Khanty	ashes	2	næːjpæːr	n æː j p æː r	9	84	
28	Jugan Khanty	ashes	2	næːjpæːr	n æː j p æː r	9	84	
29	Upper Demjanka Khanty	ashes	2	χoːjəm	χ oː j ə m	8	91	
30	Konda Khanty	ashes	2	χoːjəm	χ oː j ə m	8	91	
31	Nizjam Khanty	ashes	2	χɔːjəm	χ ɔː j ə m	8	91	
32	Sherkaly Khanty	ashes	2	χɔːjəm	χ ɔː j ə m	8	91	
33	Kazym Khanty	ashes	2	raːtχiʃ	r aː t χ i ʃ	7	50	
34	Obdorsk Khanty	ashes	2	ræːtχis	r æː t χ i s	7	50	
35	North Mansi	bark	3	sul	s u l	-10	184	
36	Middle Lozva Mansi	bark	3	sul	s u l	-10	184	
37	Lower Lozva Mansi	bark	3	sul	s u l	-10	184	
38	Pelymka Mansi	bark	3	sul	s u l	-10	184	
39	Konda Mansi	bark	3	suːl	s uː l	-10	184	
40	Tavda Mansi	bark	3	su	s u	-10	184	
41	Vakh Khanty	bark	3	kæːr	k æː r	11	203	
42	Verkhne-Kalymsk Khanty	bark	3	kæːr	k æː r	11	203	
43	Vasjugan Khanty	bark	3	kæːr	k æː r	11	203	
44	Likrisovskoje Khanty	bark	3	kæːr	k æː r	11	203	
45	Malyj Jugan Khanty	bark	3	kæːr	k æː r	11	203	
46	Tremjugan Khanty	bark	3	kæːr	k æː r	11	203	
47	Jugan Khanty	bark	3	kæːr	k æː r	11	203	
48	Upper Demjanka Khanty	bark	3	kæːr	k æː r	11	203	
49	Konda Khanty	bark	3	kæːr	k æː r	11	203	
50	Nizjam Khanty	bark	3	kaːr	k aː r	11	203	
51	Kazym Khanty	bark	3	kaːr	k aː r	11	203	
52	Obdorsk Khanty	bark	3	kæːr	k æː r	11	203	
53	North Mansi	big	5	jænɨɣ	j æ n ɨ ɣ	15	227	
54	Middle Lozva Mansi	big	5	jæni	j æ n i	15	227	
55	Lower Lozva Mansi	big	5	jæni	j æ n i	15	227	
56	Pelymka Mansi	big	5	jæni	j æ n i	15	227	
57	Konda Mansi	big	5	jæni	j æ n i	15	227	
58	Tavda Mansi	big	5	jænu	j æ n u	15	227	
59	Vakh Khanty	big	5	eɭɭə	e ɭː ə	15	227	
60	Verkhne-Kalymsk Khanty	big	5	eɭə	e ɭ ə	15	227	
61	Vasjugan Khanty	big	5	eɭɭə	e ɭː ə	15	227	
62	Vartovskoje Khanty	big	5	eɭə	e ɭ ə	15	227	
63	Likrisovskoje Khanty	big	5	eɭə	e ɭ ə	15	227	
64	Malyj Jugan Khanty	big	5	enɬ	e n ɬ	15	227	
65	Tremjugan Khanty	big	5	enɬ	e n ɬ	15	227	
66	Jugan Khanty	big	5	entɬ	e n t ɬ	15	227	
67	Upper Demjanka Khanty	big	5	eːnə	eː n ə	15	227	
68	Konda Khanty	big	5	eːnə	eː n ə	15	227	
69	Nizjam Khanty	big	5	uːnə	uː n ə	16	227	
