ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID	NewCogID	
1	North Mansi	all	1	pusən	p u s ə n	1	107	
2	Middle Lozva Mansi	all	1	puʃn	p u ʃ n	1	107	
3	Lower Lozva Mansi	all	1	ʃaq	ʃ a q	2	58	
4	Pelymka Mansi	all	1	ʃoq	ʃ o q	2	58	
5	Konda Mansi	all	1	soq	s o q	2	58	
6	Tavda Mansi	all	1	ʃɔχ	ʃ ɔ χ	2	58	
7	Vakh Khanty	all	1	ejnæːm	e j n æː m	3	208	
8	Verkhne-Kalymsk Khanty	all	1	ejnæːm	e j n æː m	3	208	
9	Vartovskoje Khanty	all	1	ejnæːm	e j n æː m	3	208	
10	Likrisovskoje Khanty	all	1	ejnæːm	e j n æː m	3	208	
11	Malyj Jugan Khanty	all	1	ejnæːm	e j n æː m	3	208	
12	Tremjugan Khanty	all	1	ejnæːm	e j n æː m	3	208	
13	Jugan Khanty	all	1	ejnæːm	e j n æː m	3	208	
14	Upper Demjanka Khanty	all	1	χarnaː	χ a r n aː	4	192	
15	Konda Khanty	all	1	pertæː	p e r t æː	5	16	
16	Nizjam Khanty	all	1	isaχaːt	i s a χ aː t	6	249	
17	Sherkaly Khanty	all	1	isaːt	i s aː t	6	249	
18	Kazym Khanty	all	1	isaː	i s aː	6	249	
19	Synja Khanty	all	1	isaː	i s aː	6	249	
20	North Mansi	ashes	2	χuʎəm	χ u ʎ ə m	8	146	
21	Middle Lozva Mansi	ashes	2	quʎəm	q u ʎ ə m	8	146	
22	Lower Lozva Mansi	ashes	2	quʎəm	q u ʎ ə m	8	146	
23	Konda Mansi	ashes	2	quʎəm	q u ʎ ə m	8	146	
24	Tavda Mansi	ashes	2	qoːʎəm	q oː ʎ ə m	8	146	
25	Vakh Khanty	ashes	2	pæːr	p æː r	9	55	
26	Vasjugan Khanty	ashes	2	pæːr	p æː r	9	55	
27	Tremjugan Khanty	ashes	2	næːjpæːr	n æː j p æː r	9	136	
28	Jugan Khanty	ashes	2	næːjpæːr	n æː j p æː r	9	136	
29	Upper Demjanka Khanty	ashes	2	χoːjəm	χ oː j ə m	8	146	
30	Konda Khanty	ashes	2	χoːjəm	χ oː j ə m	8	146	
31	Nizjam Khanty	ashes	2	χɔːjəm	χ ɔː j ə m	8	146	
32	Sherkaly Khanty	ashes	2	χɔːjəm	χ ɔː j ə m	8	146	
33	Kazym Khanty	ashes	2	raːtχiʃ	r aː t χ i ʃ	7	86	
34	Obdorsk Khanty	ashes	2	ræːtχis	r æː t χ i s	7	86	
35	North Mansi	bark	3	sul	s u l	-10	280	
36	Middle Lozva Mansi	bark	3	sul	s u l	-10	280	
37	Lower Lozva Mansi	bark	3	sul	s u l	-10	280	
38	Pelymka Mansi	bark	3	sul	s u l	-10	280	
39	Konda Mansi	bark	3	suːl	s uː l	-10	280	
40	Tavda Mansi	bark	3	su	s u	-10	280	
41	Vakh Khanty	bark	3	kæːr	k æː r	11	300	
42	Verkhne-Kalymsk Khanty	bark	3	kæːr	k æː r	11	300	
43	Vasjugan Khanty	bark	3	kæːr	k æː r	11	300	
44	Likrisovskoje Khanty	bark	3	kæːr	k æː r	11	300	
45	Malyj Jugan Khanty	bark	3	kæːr	k æː r	11	300	
46	Tremjugan Khanty	bark	3	kæːr	k æː r	11	300	
47	Jugan Khanty	bark	3	kæːr	k æː r	11	300	
48	Upper Demjanka Khanty	bark	3	kæːr	k æː r	11	300	
49	Konda Khanty	bark	3	kæːr	k æː r	11	300	
50	Nizjam Khanty	bark	3	kaːr	k aː r	11	300	
51	Kazym Khanty	bark	3	kaːr	k aː r	11	300	
52	Obdorsk Khanty	bark	3	kæːr	k æː r	11	300	
53	North Mansi	big	5	jænɨɣ	j æ n ɨ ɣ	15	178	
54	Middle Lozva Mansi	big	5	jæni	j æ n i	15	178	
55	Lower Lozva Mansi	big	5	jæni	j æ n i	15	178	
56	Pelymka Mansi	big	5	jæni	j æ n i	15	178	
57	Konda Mansi	big	5	jæni	j æ n i	15	178	
58	Tavda Mansi	big	5	jænu	j æ n u	15	178	
59	Vakh Khanty	big	5	eɭɭə	e ɭː ə	15	325	
60	Verkhne-Kalymsk Khanty	big	5	eɭə	e ɭ ə	15	325	
61	Vasjugan Khanty	big	5	eɭɭə	e ɭː ə	15	325	
62	Vartovskoje Khanty	big	5	eɭə	e ɭ ə	15	325	
63	Likrisovskoje Khanty	big	5	eɭə	e ɭ ə	15	325	
64	Malyj Jugan Khanty	big	5	enɬ	e n ɬ	15	155	
65	Tremjugan Khanty	big	5	enɬ	e n ɬ	15	155	
66	Jugan Khanty	big	5	entɬ	e n t ɬ	15	155	
67	Upper Demjanka Khanty	big	5	eːnə	eː n ə	15	325	
68	Konda Khanty	big	5	eːnə	eː n ə	15	325	
69	Nizjam Khanty	big	5	uːnə	uː n ə	16	325	
70	Sherkaly Khanty	big	5	uːnə	uː n ə	16	325	
71	Kazym Khanty	big	5	wɵːn	w ɵː n	16	34	
72	Synja Khanty	big	5	uːn	uː n	16	30	
73	North Mansi	belly	4	sorɨɣ	s o r ɨ ɣ	12	159	
74	Middle Lozva Mansi	belly	4	sɔr	s ɔ r	12	19	
75	Pelymka Mansi	belly	4	sori	s o r i	12	159	
76	Vakh Khanty	belly	4	koɳ	k o ɳ	13	329	
77	Verkhne-Kalymsk Khanty	belly	4	koɳ	k o ɳ	13	329	
78	Vasjugan Khanty	belly	4	koɳ	k o ɳ	13	329	
79	Vartovskoje Khanty	belly	4	koɳ	k o ɳ	13	329	
80	Likrisovskoje Khanty	belly	4	koɳ	k o ɳ	13	329	
81	Malyj Jugan Khanty	belly	4	kon	k o n	13	329	
82	Tremjugan Khanty	belly	4	koɳ	k o ɳ	13	329	
83	Jugan Khanty	belly	4	kon	k o n	13	329	
84	Upper Demjanka Khanty	belly	4	poːrəχ	p oː r ə χ	14	132	
85	Konda Khanty	belly	4	χon	χ o n	13	329	
86	Nizjam Khanty	belly	4	χon	χ o n	13	329	
87	Sherkaly Khanty	belly	4	χon	χ o n	13	329	
88	Kazym Khanty	belly	4	χoɳ	χ o ɳ	13	329	
89	Synja Khanty	belly	4	χoɳ	χ o ɳ	13	329	
90	Obdorsk Khanty	belly	4	χon	χ o n	13	329	
91	North Mansi	bird	6	tɔwləŋuj	t ɔ w l ə ŋ u j	17	258	
92	Middle Lozva Mansi	bird	6	tɔuləŋuj	t ɔu l ə ŋ u j	17	258	
93	Lower Lozva Mansi	bird	6	uj	u j	17	253	
94	Pelymka Mansi	bird	6	wuj	w u j	17	253	
95	Konda Mansi	bird	6	wuj	w u j	17	253	
96	Tavda Mansi	bird	6	sosqol	s o s q o l	18	36	
97	Vakh Khanty	bird	6	waːjəɣ	w aː j ə ɣ	17	50	
98	Vasjugan Khanty	bird	6	waːjəɣ	w aː j ə ɣ	17	50	
99	Tremjugan Khanty	bird	6	toɣɬəŋwɔːjəɣ	t o ɣ ɬ ə ŋ w ɔː j ə ɣ	17	258	
100	Upper Demjanka Khanty	bird	6	toχtəŋwoːjə	t o χ t ə ŋ w oː j ə	17	258	
101	Sherkaly Khanty	bird	6	wɔːj	w ɔː j	17	253	
102	Kazym Khanty	bird	6	toχɬəŋwɔːj	t o χ ɬ ə ŋ w ɔː j	17	258	
103	North Mansi	bite (V)	7	puri	p u r i	19	327	
104	Middle Lozva Mansi	bite (V)	7	puri	p u r i	19	327	
105	Lower Lozva Mansi	bite (V)	7	puri	p u r i	19	327	
106	Pelymka Mansi	bite (V)	7	puri	p u r i	19	327	
