ID	Language	Gloss	GlossID	CogID	IPA	Tokens	NewCogID	
1	Maloh	hand	1	155	taŋan	t a ŋ a n	1010	
2	Merina (Malagasy)	hand	1	155	tanana	t a n a n a	2890	
3	Thao	hand	1	446	rima	r i m a	1427	
4	Palauan	hand	1	446	cʰim	cʰ i m	2451	
5	Tunjung	hand	1	155	aŋaʔ	a ŋ a ʔ	2581	
6	Bare'e	hand	1	1484	pale	p a l e	1998	
7	Iban	hand	1	155	taŋan	t a ŋ a n	1010	
8	Iban	hand	1	1556	jari	j a r i	142	
9	Berawan (Long Terawan)	hand	1	481	tisu	t i s u	2871	
10	Berawan (Long Terawan)	hand	1	481	isu	i s u	1467	
11	Hanunoo	hand	1	1796	kamaŋ	k a m a ŋ	1094	
12	Wuna	hand	1	446	lima	l i m a	1427	
13	Tetum	hand	1	446	liman	l i m a n	1427	
14	Mailu	hand	1	446	ima	i m a	1427	
15	Tsou	hand	1	350	mucu	m u c u	2015	
16	Nias	hand	1	155	taŋa	t a ŋ a	1010	
17	Central Amis	hand	1	19	kamaj	k a m a j	1094	
18	Chamorro	hand	1	2515	kanːai	k a nː a i	3514	
19	Banoni	hand	1	446	numa	n u m a	660	
20	Singhi	hand	1	155	toŋan	t o ŋ a n	1010	
21	Maloh	left	2	1000	kajoko	k a j o k o	875	
22	Merina (Malagasy)	left	2	-483	havia	h a v i a	1201	
23	Palauan	left	2	1253	katur	k a t u r	2666	
24	Tunjung	left	2	645	ulaj	u l a j	2390	
25	Bare'e	left	2	483	kaiː	k a iː	2547	
26	Iban	left	2	560	kibaʔ	k i b a ʔ	374	
27	Berawan (Long Terawan)	left	2	645	pəmaiŋ	p ə m a i ŋ	1016	
28	Moken	left	2	1702	ʔeloj	ʔ e l o j	3045	
29	Hanunoo	left	2	159	wala	w a l a	2516	
30	Wuna	left	2	98	kema	k e m a	620	
31	Tetum	left	2	1881	karuk	k a r u k	658	
32	Mailu	left	2	1934	ebe	e b e	501	
33	Tsou	left	2	483	vrina	v r i n a	2594	
34	Nias	left	2	2227	kabera	k a b e r a	2778	
35	Central Amis	left	2	483	kawili	k a w i l i	420	
36	Chamorro	left	2	2516	akague	a k a g u e	2549	
37	Banoni	left	2	2601	tororona	t o r o r o n a	977	
38	Singhi	left	2	2743	bait	b a i t	1814	
39	Banggi	left	2	-159	kuikiwaŋ	k u i k i w a ŋ	1961	
40	Maloh	right	3	-519	kato	k a t o	1664	
41	Merina (Malagasy)	right	3	255	havanana	h a v a n a n a	808	
42	Palauan	right	3	1254	kadikm	k a d i k m	1841	
43	Tunjung	right	3	519	tauʔ	t a u ʔ	1967	
44	Bare'e	right	3	255	kana	k a n a	3246	
45	Iban	right	3	255	kanan	k a n a n	3246	
46	Berawan (Long Terawan)	right	3	519	pəŋkatuʔoh	p ə ŋ k a t u ʔ o h	1687	
47	Moken	right	3	255	nanaːn	n a n aː n	3246	
48	Hanunoo	right	3	-184	sikun	s i k u n	1079	
49	Wuna	right	3	255	swana	s w a n a	3246	
50	Tetum	right	3	255	kwana	k w a n a	3246	
51	Mailu	right	3	1935	iata	i a t a	1529	
52	Tsou	right	3	255	vhona	v h o n a	1484	
53	Nias	right	3	2228	kawõlõ	k a w õ l õ	1317	
54	Central Amis	right	3	255	kawanan	k a w a n a n	3246	
55	Banoni	right	3	519	matoː	m a t oː	1181	
56	Singhi	right	3	519	toux	t o u x	3197	
57	Banggi	right	3	-184	kikuan	k i k u a n	2147	
58	Merina (Malagasy)	leg/foot	4	-97	ranjo	r a n j o	1376	
59	Merina (Malagasy)	leg/foot	4	1053	toŋotra	t o ŋ o t r a	3653	
60	Thao	leg/foot	4	1161	kuskus	k u s k u s	1288	
61	Palauan	leg/foot	4	-290	oacʰ	o a cʰ	1562	
62	Tunjung	leg/foot	4	1401	uneŋ	u n e ŋ	1382	
63	Bare'e	leg/foot	4	28	witi	w i t i	99	
64	Iban	leg/foot	4	290	kaki	k a k i	1062	
65	Iban	leg/foot	4	1557	pah	p a h	1778	
66	Berawan (Long Terawan)	leg/foot	4	366	gimaʔ	g i m a ʔ	3141	
67	Moken	leg/foot	4	199	pakaʔ	p a k a ʔ	3185	
68	Moken	leg/foot	4	290	kakaj	k a k a j	2659	
69	Hanunoo	leg/foot	4	1797	raparapa	r a p a r a p a	592	
70	Wuna	leg/foot	4	290	gʰagʰe	gʰ a gʰ e	28	
71	Tetum	leg/foot	4	290	ain	a i n	2187	
