ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID	NewCogID	
1	Dutch	all	1	ɑlə	ɑ l ə	5	767	
2	Swedish	all	1	alː	a lː	5	1076	
3	English	all	1	ɔːl	ɔː l	5	429	
4	German	all	1	al	a l	5	593	
5	Spanish	all	1	entero	e n t e r o	2	733	
6	Danish	all	1	æˀl	æˀ l	5	205	
7	Bulgarian	all	1	vsiʧki	v s i ʧ k i	3	686	
8	Greek	all	1	kaθe	k a θ e	7	137	
9	Romanian	all	1	tot	t o t	6	1067	
10	Russian	all	1	fsʲe	f sʲ e	3	1601	
11	Polish	all	1	fʃɨsʦɨ	f ʃ ɨ s ʦ ɨ	3	585	
12	Norwegian	all	1	ɑlə	ɑ l ə	5	767	
13	French	all	1	tu	t u	6	923	
14	Czech	all	1	fʃɪxnʲɪ	f ʃ ɪ x nʲ ɪ	3	1550	
15	Icelandic	all	1	at͡lir	a t͡l i r	5	220	
16	Italian	all	1	intɛro	i n t ɛ r o	2	1302	
17	Hindi	all	1	səb	s ə b	4	1165	
18	Portuguese	all	1	todu	t o d u	6	1729	
19	Spanish	all	1	toðo	t o ð o	6	733	
20	Romanian	all	1	ɨntreg	ɨ n t r e g	2	1067	
21	French	all	1	ɑ̃tje	ɑ̃ t j e	2	923	
22	Italian	all	1	tutto	t u tː o	6	1302	
23	Hindi	all	1	saːraː	s aː r aː	1	1165	
24	Dutch	ashes	2	ɑs	ɑ s	10	542	
25	Swedish	ashes	2	asːka	a sː k a	10	685	
26	English	ashes	2	æʃ	æ ʃ	10	375	
27	German	ashes	2	aʃə	a ʃ ə	10	1075	
28	Spanish	ashes	2	θeniθa	θ e n i θ a	12	1242	
29	Danish	ashes	2	asg	a s g	10	663	
30	Bulgarian	ashes	2	pɛpɛl	p ɛ p ɛ l	8	619	
31	Greek	ashes	2	staxti	s t a x t i	14	667	
32	Armenian	ashes	2	moχiɾ	m o χ i ɾ	9	507	
33	Romanian	ashes	2	ʧenuʃə	ʧ e n u ʃ ə	12	750	
34	Russian	ashes	2	zɐla	z ɐ l a	11	950	
35	Polish	ashes	2	pɔpʲuw	p ɔ pʲ u w	8	417	
36	Norwegian	ashes	2	ɑsk	ɑ s k	-10	690	
37	French	ashes	2	sɑ̃dʁ	s ɑ̃ d ʁ	12	1024	
38	Czech	ashes	2	popɛl	p o p ɛ l	8	619	
39	Icelandic	ashes	2	aska	a s k a	10	174	
40	Italian	ashes	2	ʧenere	ʧ e n e r e	12	1808	
41	Hindi	ashes	2	raːkʰ	r aː kʰ	13	842	
42	Portuguese	ashes	2	sĩzɐ	s ĩ z ɐ	12	63	
43	Russian	ashes	2	pʲepɪlʲ	pʲ e p ɪ lʲ	8	950	
44	Dutch	bark	3	bɑst	b ɑ s t	19	669	
45	Swedish	bark	3	barːk	b a rː k	15	723	
46	English	bark	3	bɑːrk	b ɑː r k	-15	1843	
47	German	bark	3	rɪndə	r ɪ n d ə	20	909	
48	Spanish	bark	3	koɾteθa	k o ɾ t e θ a	18	1147	
49	Danish	bark	3	bɑːg	b ɑː g	15	1464	
50	Bulgarian	bark	3	kora	k o r a	23	949	
51	Greek	bark	3	flios	f l io s	16	1667	
52	Armenian	bark	3	kɛʁɛv	k ɛ ʁ ɛ v	22	1620	
53	Romanian	bark	3	skwarʦə	s k w a r ʦ ə	23	1440	
54	Russian	bark	3	kɐra	k ɐ r a	23	1508	
55	Polish	bark	3	kɔra	k ɔ r a	23	1273	
56	Norwegian	bark	3	bɑɾk	b ɑ ɾ k	-15	1408	
57	French	bark	3	ekɔʁs	e k ɔ ʁ s	23	351	
58	Czech	bark	3	kuːra	k uː r a	23	1496	
59	Icelandic	bark	3	bœrkʏr	b œ r k ʏ r	15	1884	
60	Italian	bark	3	korteʧʧa	k o r t e ʧː a	18	1402	
61	Hindi	bark	3	ʧʰaːl	ʧʰ aː l	21	1706	
62	Portuguese	bark	3	kaʃkɐ	k a ʃ k ɐ	17	1502	
