ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID	NewCogID	
1	Dutch	all	1	ɑlə	ɑ l ə	5	754	
2	Swedish	all	1	alː	a lː	5	1052	
3	English	all	1	ɔːl	ɔː l	5	427	
4	German	all	1	al	a l	5	587	
5	Spanish	all	1	entero	e n t e r o	2	721	
6	Danish	all	1	æˀl	æˀ l	5	204	
7	Bulgarian	all	1	vsiʧki	v s i ʧ k i	3	675	
8	Greek	all	1	kaθe	k a θ e	7	132	
9	Romanian	all	1	tot	t o t	6	1029	
10	Russian	all	1	fsʲe	f sʲ e	3	1569	
11	Polish	all	1	fʃɨsʦɨ	f ʃ ɨ s ʦ ɨ	3	578	
12	Norwegian	all	1	ɑlə	ɑ l ə	5	754	
13	French	all	1	tu	t u	6	193	
14	Czech	all	1	fʃɪxnʲɪ	f ʃ ɪ x nʲ ɪ	3	1519	
15	Icelandic	all	1	at͡lir	a t͡l i r	5	220	
16	Italian	all	1	intɛro	i n t ɛ r o	2	721	
17	Hindi	all	1	səb	s ə b	4	1142	
18	Portuguese	all	1	todu	t o d u	6	1695	
19	Spanish	all	1	toðo	t o ð o	6	660	
20	Romanian	all	1	ɨntreg	ɨ n t r e g	2	1043	
21	French	all	1	ɑ̃tje	ɑ̃ t j e	2	903	
22	Italian	all	1	tutto	t u tː o	6	1275	
23	Hindi	all	1	saːraː	s aː r aː	1	825	
24	Dutch	ashes	2	ɑs	ɑ s	10	533	
25	Swedish	ashes	2	asːka	a sː k a	10	674	
26	English	ashes	2	æʃ	æ ʃ	10	371	
27	German	ashes	2	aʃə	a ʃ ə	10	1051	
28	Spanish	ashes	2	θeniθa	θ e n i θ a	12	1215	
29	Danish	ashes	2	asg	a s g	10	650	
30	Bulgarian	ashes	2	pɛpɛl	p ɛ p ɛ l	8	611	
31	Greek	ashes	2	staxti	s t a x t i	14	654	
32	Armenian	ashes	2	moχiɾ	m o χ i ɾ	9	499	
33	Romanian	ashes	2	ʧenuʃə	ʧ e n u ʃ ə	12	737	
34	Russian	ashes	2	zɐla	z ɐ l a	11	930	
35	Polish	ashes	2	pɔpʲuw	p ɔ pʲ u w	8	413	
36	Norwegian	ashes	2	ɑsk	ɑ s k	-10	678	
37	French	ashes	2	sɑ̃dʁ	s ɑ̃ d ʁ	12	1002	
38	Czech	ashes	2	popɛl	p o p ɛ l	8	30	
39	Icelandic	ashes	2	aska	a s k a	10	174	
40	Italian	ashes	2	ʧenere	ʧ e n e r e	12	1774	
41	Hindi	ashes	2	raːkʰ	r aː kʰ	13	822	
42	Portuguese	ashes	2	sĩzɐ	s ĩ z ɐ	12	57	
43	Russian	ashes	2	pʲepɪlʲ	pʲ e p ɪ lʲ	8	181	
44	Dutch	bark	3	bɑst	b ɑ s t	19	656	
45	Swedish	bark	3	barːk	b a rː k	15	712	
46	English	bark	3	bɑːrk	b ɑː r k	-15	1809	
47	German	bark	3	rɪndə	r ɪ n d ə	20	889	
48	Spanish	bark	3	koɾteθa	k o ɾ t e θ a	18	1124	
49	Danish	bark	3	bɑːg	b ɑː g	15	1433	
50	Bulgarian	bark	3	kora	k o r a	23	1247	
51	Greek	bark	3	flios	f l io s	16	1634	
52	Armenian	bark	3	kɛʁɛv	k ɛ ʁ ɛ v	22	1588	
53	Romanian	bark	3	skwarʦə	s k w a r ʦ ə	23	1409	
54	Russian	bark	3	kɐra	k ɐ r a	23	1477	
55	Polish	bark	3	kɔra	k ɔ r a	23	1247	
56	Norwegian	bark	3	bɑɾk	b ɑ ɾ k	-15	1376	
57	French	bark	3	ekɔʁs	e k ɔ ʁ s	23	347	
58	Czech	bark	3	kuːra	k uː r a	23	1464	
59	Icelandic	bark	3	bœrkʏr	b œ r k ʏ r	15	1849	
60	Italian	bark	3	korteʧʧa	k o r t e ʧː a	18	1371	
61	Hindi	bark	3	ʧʰaːl	ʧʰ aː l	21	1673	
62	Portuguese	bark	3	kaʃkɐ	k a ʃ k ɐ	17	1470	
63	Dutch	belly	4	bœyk	b œy k	27	87	
64	Swedish	belly	4	maːge	m aː g e	32	1097	
65	English	belly	4	bɛlɪ	b ɛ l ɪ	28	3	
66	German	belly	4	baux	b au x	27	1321	
67	Spanish	belly	4	bjentre	b j e n t r e	26	1365	
68	Danish	belly	4	ɔnʌliwˀ	ɔ n ʌ l i wˀ	34	818	
69	Bulgarian	belly	4	korɛm	k o r ɛ m	-30	579	
70	Greek	belly	4	ciʎa	c i ʎ a	24	31	
71	Romanian	belly	4	pənteʦe	p ə n t e ʦ e	33	378	
72	Russian	belly	4	ʒɨvot	ʒ ɨ v o t	31	328	
73	Polish	belly	4	bʒux	b ʒ u x	35	859	
74	Norwegian	belly	4	mɑːgə	m ɑː g ə	32	255	
75	French	belly	4	vɑ̃tʁ	v ɑ̃ t ʁ	26	1336	
76	Czech	belly	4	brɪxo	b r ɪ x o	35	59	
77	Icelandic	belly	4	kʰvɪːðʏr	kʰ v ɪː ð ʏ r	36	1858	
78	Italian	belly	4	panʧa	p a n ʧ a	33	334	
79	Hindi	belly	4	peːʈ	p eː ʈ	-25	1832	
80	Portuguese	belly	4	vẽtrə	v ẽ t r ə	26	1636	
81	Swedish	belly	4	buk	b u k	27	1044	
82	Danish	belly	4	mæːvə	m æː v ə	32	383	
83	Norwegian	belly	4	bʉːk	b ʉː k	27	131	
84	Italian	belly	4	vɛntre	v ɛ n t r e	26	1199	
85	Portuguese	belly	4	bɐʀigɐ	b ɐ ʀ i g ɐ	29	1578	
86	Dutch	big	5	xroːt	x r oː t	46	843	
87	Swedish	big	5	stoːr	s t oː r	43	1446	
88	English	big	5	bɪɡ	b ɪ ɡ	40	1011	
89	German	big	5	ɡroːs	ɡ r oː s	46	1131	
90	Spanish	big	5	ɡɾande	ɡ ɾ a n d e	47	1601	
91	Danish	big	5	sdoˀʁ	s d oˀ ʁ	43	84	
92	Bulgarian	big	5	golʲam	g o lʲ a m	38	1719	
93	Greek	big	5	meɣalos	m e ɣ a l o s	37	1701	
94	Armenian	big	5	mɛʦ	m ɛ ʦ	37	40	
95	Romanian	big	5	mare	m a r e	42	676	
96	Russian	big	5	bɐlʲʃoj	b ɐ lʲ ʃ o j	44	425	
97	Polish	big	5	vʲɛlki	vʲ ɛ l k i	41	799	
98	Norwegian	big	5	stuːɾ	s t uː ɾ	-43	1446	
99	French	big	5	ɡʁã	ɡ ʁ ã	47	127	
100	Czech	big	5	vɛlkiː	v ɛ l k iː	41	799	
101	Icelandic	big	5	stouːr	s t ouː r	43	638	
102	Italian	big	5	ɡrande	ɡ r a n d e	47	1601	
103	Hindi	big	5	bəɽaː	b ə ɽ aː	39	1853	
104	Portuguese	big	5	grɐ̃də	g r ɐ̃ d ə	47	189	
105	English	big	5	ɡreɪt	ɡ r eɪ t	46	240	
106	Polish	big	5	duʒɨ	d u ʒ ɨ	45	911	
107	Icelandic	big	5	mɪːcɪt͡l	m ɪː c ɪ t͡l	37	1289	
108	Dutch	bird	6	voːɣəl	v oː ɣ ə l	51	1335	
109	Swedish	bird	6	foːgel	f oː g e l	51	1335	
110	English	bird	6	bɜːrd	b ɜː r d	53	614	
111	German	bird	6	foːɡəl	f oː ɡ ə l	51	1335	
112	Spanish	bird	6	paxaro	p a x a r o	48	855	
113	Danish	bird	6	fuˀl	f uˀ l	51	1256	
114	Bulgarian	bird	6	ptiʦə	p t i ʦ ə	51	1712	
115	Greek	bird	6	puli	p u l i	-50	858	
116	Armenian	bird	6	tʰərʧʰun	tʰ ə r ʧʰ u n	48	1836	
117	Romanian	bird	6	pasəre	p a s ə r e	48	1236	
118	Russian	bird	6	ptʲiʦə	p tʲ i ʦ ə	51	1712	
119	Polish	bird	6	ptak	p t a k	51	1466	
120	Norwegian	bird	6	fʉːl	f ʉː l	51	1256	
121	French	bird	6	wazo	w a z o	52	999	
122	Czech	bird	6	ptaːk	p t aː k	51	1466	
123	Icelandic	bird	6	fʏkl	f ʏ k l	51	1503	
124	Italian	bird	6	uʧːɛllo	u ʧː ɛ lː o	52	1055	
125	Hindi	bird	6	ʧɪɽɪyaː	ʧ ɪ ɽ ɪyaː	-49	815	
126	Portuguese	bird	6	avə	a v ə	52	367	
127	Spanish	bird	6	ave	a v e	52	367	
128	Portuguese	bird	6	pasɐru	p a s ɐ r u	48	35	
129	Dutch	bite (V)	7	bɛɪtə	b ɛɪ t ə	54	337	
130	Swedish	bite (V)	7	biːta	b iː t a	54	1302	
131	English	bite (V)	7	baɪt	b aɪ t	54	1417	
132	German	bite (V)	7	baisən	b ai s ə n	54	56	
