ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID	NewCogID	
1	Dutch	all	1	ɑlə	ɑ l ə	5	610	
2	Swedish	all	1	alː	a lː	5	872	
3	English	all	1	ɔːl	ɔː l	5	336	
4	German	all	1	al	a l	5	473	
5	Spanish	all	1	entero	e n t e r o	2	582	
6	Danish	all	1	æˀl	æˀ l	5	157	
7	Bulgarian	all	1	vsiʧki	v s i ʧ k i	3	544	
8	Greek	all	1	kaθe	k a θ e	7	106	
9	Romanian	all	1	tot	t o t	6	856	
10	Russian	all	1	fsʲe	f sʲ e	3	1335	
11	Polish	all	1	fʃɨsʦɨ	f ʃ ɨ s ʦ ɨ	3	466	
12	Norwegian	all	1	ɑlə	ɑ l ə	5	610	
13	French	all	1	tu	t u	6	147	
14	Czech	all	1	fʃɪxnʲɪ	f ʃ ɪ x nʲ ɪ	3	1287	
15	Icelandic	all	1	at͡lir	a t͡l i r	5	168	
16	Italian	all	1	intɛro	i n t ɛ r o	2	582	
17	Hindi	all	1	səb	s ə b	4	941	
18	Portuguese	all	1	todu	t o d u	6	1452	
19	Spanish	all	1	toðo	t o ð o	6	531	
20	Romanian	all	1	ɨntreg	ɨ n t r e g	2	865	
21	French	all	1	ɑ̃tje	ɑ̃ t j e	2	743	
22	Italian	all	1	tutto	t u tː o	6	1059	
23	Hindi	all	1	saːraː	s aː r aː	1	670	
24	Dutch	ashes	2	ɑs	ɑ s	10	427	
25	Swedish	ashes	2	asːka	a sː k a	10	543	
26	English	ashes	2	æʃ	æ ʃ	10	292	
27	German	ashes	2	aʃə	a ʃ ə	10	871	
28	Spanish	ashes	2	θeniθa	θ e n i θ a	12	1006	
29	Danish	ashes	2	asg	a s g	10	543	
30	Bulgarian	ashes	2	pɛpɛl	p ɛ p ɛ l	8	491	
31	Greek	ashes	2	staxti	s t a x t i	14	525	
32	Armenian	ashes	2	moχiɾ	m o χ i ɾ	9	394	
33	Romanian	ashes	2	ʧenuʃə	ʧ e n u ʃ ə	12	596	
34	Russian	ashes	2	zɐla	z ɐ l a	11	765	
35	Polish	ashes	2	pɔpʲuw	p ɔ pʲ u w	8	323	
36	Norwegian	ashes	2	ɑsk	ɑ s k	-10	547	
37	French	ashes	2	sɑ̃dʁ	s ɑ̃ d ʁ	12	829	
38	Czech	ashes	2	popɛl	p o p ɛ l	8	491	
39	Icelandic	ashes	2	aska	a s k a	10	543	
40	Italian	ashes	2	ʧenere	ʧ e n e r e	12	1527	
41	Hindi	ashes	2	raːkʰ	r aː kʰ	13	667	
42	Portuguese	ashes	2	sĩzɐ	s ĩ z ɐ	12	48	
43	Russian	ashes	2	pʲepɪlʲ	pʲ e p ɪ lʲ	8	491	
44	Dutch	bark	3	bɑst	b ɑ s t	19	527	
45	Swedish	bark	3	barːk	b a rː k	15	1561	
46	English	bark	3	bɑːrk	b ɑː r k	-15	1561	
47	German	bark	3	rɪndə	r ɪ n d ə	20	729	
48	Spanish	bark	3	koɾteθa	k o ɾ t e θ a	18	1150	
49	Danish	bark	3	bɑːg	b ɑː g	15	1205	
50	Bulgarian	bark	3	kora	k o r a	23	1246	
51	Greek	bark	3	flios	f l io s	16	1395	
52	Armenian	bark	3	kɛʁɛv	k ɛ ʁ ɛ v	22	1351	
53	Romanian	bark	3	skwarʦə	s k w a r ʦ ə	23	1184	
54	Russian	bark	3	kɐra	k ɐ r a	23	1246	
55	Polish	bark	3	kɔra	k ɔ r a	23	1246	
56	Norwegian	bark	3	bɑɾk	b ɑ ɾ k	-15	1561	
57	French	bark	3	ekɔʁs	e k ɔ ʁ s	23	268	
58	Czech	bark	3	kuːra	k uː r a	23	1246	
59	Icelandic	bark	3	bœrkʏr	b œ r k ʏ r	15	1601	
60	Italian	bark	3	korteʧʧa	k o r t e ʧː a	18	1150	
61	Hindi	bark	3	ʧʰaːl	ʧʰ aː l	21	1433	
62	Portuguese	bark	3	kaʃkɐ	k a ʃ k ɐ	17	1240	
63	Dutch	belly	4	bœyk	b œy k	27	70	
64	Swedish	belly	4	maːge	m aː g e	32	908	
65	English	belly	4	bɛlɪ	b ɛ l ɪ	28	3	
66	German	belly	4	baux	b au x	27	1103	
67	Spanish	belly	4	bjentre	b j e n t r e	26	1144	
68	Danish	belly	4	ɔnʌliwˀ	ɔ n ʌ l i wˀ	34	664	
69	Bulgarian	belly	4	korɛm	k o r ɛ m	-30	467	
70	Greek	belly	4	ciʎa	c i ʎ a	24	26	
71	Romanian	belly	4	pənteʦe	p ə n t e ʦ e	33	298	
72	Russian	belly	4	ʒɨvot	ʒ ɨ v o t	31	251	
73	Polish	belly	4	bʒux	b ʒ u x	35	701	
74	Norwegian	belly	4	mɑːgə	m ɑː g ə	32	192	
75	French	belly	4	vɑ̃tʁ	v ɑ̃ t ʁ	26	1116	
76	Czech	belly	4	brɪxo	b r ɪ x o	35	49	
77	Icelandic	belly	4	kʰvɪːðʏr	kʰ v ɪː ð ʏ r	36	1610	
78	Italian	belly	4	panʧa	p a n ʧ a	33	255	
79	Hindi	belly	4	peːʈ	p eː ʈ	-25	1584	
80	Portuguese	belly	4	vẽtrə	v ẽ t r ə	26	1397	
81	Swedish	belly	4	buk	b u k	27	866	
82	Danish	belly	4	mæːvə	m æː v ə	32	302	
83	Norwegian	belly	4	bʉːk	b ʉː k	27	105	
84	Italian	belly	4	vɛntre	v ɛ n t r e	26	1144	
85	Portuguese	belly	4	bɐʀigɐ	b ɐ ʀ i g ɐ	29	1342	
86	Dutch	big	5	xroːt	x r oː t	46	685	
87	Swedish	big	5	stoːr	s t oː r	43	1218	
88	English	big	5	bɪɡ	b ɪ ɡ	40	838	
89	German	big	5	ɡroːs	ɡ r oː s	46	933	
90	Spanish	big	5	ɡɾande	ɡ ɾ a n d e	47	1364	
