ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID	NewCogID	
1	Russian	all	1	fsʲe	f sʲ e	1	108	
2	Polish	all	1	fʃɨsʦɨ	f ʃ ɨ s ʦ ɨ	1	166	
3	Bulgarian	all	1	vsiʧki	v s i ʧ k i	1	5	
4	Czech	all	1	fʃɪxnʲɪ	f ʃ ɪ x nʲ ɪ	1	212	
5	Russian	ashes	2	zɐla	z ɐ l a	2	85	
6	Polish	ashes	2	pɔpʲuw	p ɔ pʲ u w	3	240	
7	Bulgarian	ashes	2	pɛpɛl	p ɛ p ɛ l	3	136	
8	Czech	ashes	2	popɛl	p o p ɛ l	3	136	
9	Russian	ashes	2	pʲepɪlʲ	pʲ e p ɪ lʲ	3	136	
10	Russian	bark	3	kɐra	k ɐ r a	4	214	
11	Polish	bark	3	kɔra	k ɔ r a	4	214	
12	Bulgarian	bark	3	kora	k o r a	4	214	
13	Czech	bark	3	kuːra	k uː r a	4	214	
14	Russian	belly	4	ʒɨvot	ʒ ɨ v o t	6	98	
15	Polish	belly	4	bʒux	b ʒ u x	7	2	
16	Bulgarian	belly	4	korɛm	k o r ɛ m	-5	39	
17	Czech	belly	4	brɪxo	b r ɪ x o	7	12	
18	Russian	big	5	bɐlʲʃoj	b ɐ lʲ ʃ o j	8	44	
19	Polish	big	5	vʲɛlki	vʲ ɛ l k i	10	33	
20	Bulgarian	big	5	golʲam	g o lʲ a m	9	148	
21	Czech	big	5	vɛlkiː	v ɛ l k iː	10	33	
22	Polish	big	5	duʒɨ	d u ʒ ɨ	11	106	
23	Russian	bird	6	ptʲiʦə	p tʲ i ʦ ə	12	194	
24	Polish	bird	6	ptak	p t a k	12	162	
25	Bulgarian	bird	6	ptiʦə	p t i ʦ ə	12	194	
26	Czech	bird	6	ptaːk	p t aː k	12	162	
27	Russian	bite (V)	7	kusatʲ	k u s a tʲ	14	243	
28	Polish	bite (V)	7	ssaʨ	sː a ʨ	14	62	
29	Bulgarian	bite (V)	7	xəpa	x ə p a	13	29	
30	Czech	bite (V)	7	kowsat	k o w s a t	14	243	
31	Russian	black	8	ʧornɨj	ʧ o r n ɨ j	15	95	
32	Polish	black	8	ʧarnɨ	ʧ a r n ɨ	15	95	
33	Bulgarian	black	8	ʧɛrɛn	ʧ ɛ r ɛ n	15	95	
34	Czech	black	8	ʧɛrniː	ʧ ɛ r n iː	15	95	
35	Russian	blood	9	krofʲ	k r o fʲ	16	251	
36	Polish	blood	9	krɛf	k r ɛ f	16	251	
37	Bulgarian	blood	9	krɤf	k r ɤ f	16	251	
38	Czech	blood	9	krɛf	k r ɛ f	16	251	
39	Russian	bone	10	kosʲtʲ	k o sʲ tʲ	17	189	
40	Polish	bone	10	kɔɕʨ	k ɔ ɕ ʨ	17	92	
41	Bulgarian	bone	10	kɔst	k ɔ s t	17	189	
42	Czech	bone	10	kost	k o s t	17	189	
43	Russian	breast	11	ɡrutʲ	ɡ r u tʲ	19	187	
44	Polish	breast	11	pʲɛrɕ	pʲ ɛ r ɕ	18	30	
45	Bulgarian	breast	11	ɡrɤt	ɡ r ɤ t	19	187	
46	Czech	breast	11	pr̩sa	p r̩ s a	18	125	
47	Russian	burn (V)	12	ʒetʲ	ʒ e tʲ	20	9	
48	Polish	burn (V)	12	paliʨ	p a l i ʨ	21	46	
49	Bulgarian	burn (V)	12	ɡɔra	ɡ ɔ r a	22	31	
50	Czech	burn (V)	12	paːlit	p aː l i t	21	46	
51	Russian	claw	13	noɡətʲ	n o ɡ ə tʲ	23	10	
52	Polish	claw	13	paznɔkʲɛʨ	p a z n ɔ kʲ ɛ ʨ	23	198	
53	Bulgarian	claw	13	nɔkət	n ɔ k ə t	23	10	
54	Czech	claw	13	nɛɦɛt	n ɛ ɦ ɛ t	23	72	
55	Russian	cloud	14	obləkə	o b l ə k ə	24	252	
56	Polish	cloud	14	ɔbwɔk	ɔ b w ɔ k	24	252	
57	Bulgarian	cloud	14	ɔblək	ɔ b l ə k	24	252	
58	Czech	cloud	14	oblak	o b l a k	24	252	
59	Russian	cold	15	xɐlodnɨj	x ɐ l o d n ɨ j	26	246	
60	Polish	cold	15	xwɔdnɨ	x w ɔ d n ɨ	26	246	
61	Bulgarian	cold	15	studɛn	s t u d ɛ n	27	224	
62	Czech	cold	15	xladniː	x l a d n iː	26	67	
63	Polish	cold	15	ʑimnɨ	ʑ i m n ɨ	25	74	
64	Czech	cold	15	stʊdɛniː	s t ʊ d ɛ n iː	27	224	
65	Russian	come (V)	16	prʲɪjtʲi	p rʲ ɪ j tʲ i	28	3	
66	Polish	come (V)	16	pʃɨjɕʨ	p ʃ ɨ j ɕ ʨ	28	173	
67	Bulgarian	come (V)	16	idvam	i d v a m	28	239	
68	Czech	come (V)	16	prɪjiːt	p r ɪ j iː t	28	185	
69	Russian	come (V)	16	prʲɪxɐdʲitʲ	p rʲ ɪ x ɐ dʲ i tʲ	29	186	
70	Polish	come (V)	16	pʃɨxɔʥiʨ	p ʃ ɨ x ɔ ʥ i ʨ	29	20	
71	Russian	die (V)	17	umʲɪrʲetʲ	u mʲ ɪ rʲ e tʲ	30	174	
72	Polish	die (V)	17	umʲɛraʨ	u mʲ ɛ r a ʨ	30	174	
73	Bulgarian	die (V)	17	umrɤ	u m r ɤ	30	234	
74	Czech	die (V)	17	ʊmiːrat	ʊ m iː r a t	30	174	
75	Russian	dog	18	sɐbakə	s ɐ b a k ə	32	196	
76	Polish	dog	18	pʲɛs	pʲ ɛ s	33	151	
77	Bulgarian	dog	18	kuʧɛ	k u ʧ ɛ	31	179	
78	Czech	dog	18	pɛs	p ɛ s	33	151	
79	Russian	dog	18	pʲos	pʲ o s	33	151	
80	Russian	drink (V)	19	pʲitʲ	pʲ i tʲ	34	149	
81	Polish	drink (V)	19	piʨ	p i ʨ	34	149	
82	Bulgarian	drink (V)	19	pijə	p i j ə	34	184	
83	Czech	drink (V)	19	piːt	p iː t	34	149	
