ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID	NewCogID	
31	Greek	ashes	2	staxti	s t a x t i	14	89	
32	Armenian	ashes	2	moχiɾ	m o χ i ɾ	9	89	
51	Greek	bark	3	flios	f l io s	16	54	
52	Armenian	bark	3	kɛʁɛv	k ɛ ʁ ɛ v	22	54	
93	Greek	big	5	meɣalos	m e ɣ a l o s	37	36	
94	Armenian	big	5	mɛʦ	m ɛ ʦ	37	36	
115	Greek	bird	6	puli	p u l i	-50	81	
116	Armenian	bird	6	tʰərʧʰun	tʰ ə r ʧʰ u n	48	22	
136	Greek	bite (V)	7	ðaŋɡono	ð a ŋ ɡ o n o	59	87	
137	Armenian	bite (V)	7	kəʦɛl	k ə ʦ ɛ l	57	10	
155	Greek	black	8	mavros	m a v r o s	64	39	
156	Armenian	black	8	sɛv	s ɛ v	62	39	
174	Greek	blood	9	ema	e m a	70	6	
175	Armenian	blood	9	ɑɾɪun	ɑ ɾ ɪu n	69	6	
192	Greek	bone	10	kokalo	k o k a l o	-72	11	
193	Armenian	bone	10	voskoɾ	v o s k o ɾ	73	11	
211	Greek	breast	11	stiθos	s t i θ o s	78	29	
212	Armenian	breast	11	kuɾʦkʰ	k u ɾ ʦ kʰ	83	29	
235	Greek	burn (V)	12	ceo	c eo	87	44	
236	Armenian	burn (V)	12	ɑɪɾvɛl	ɑɪ ɾ v ɛ l	85	44	
254	Greek	claw	13	niçi	n i ç i	94	0	
255	Armenian	claw	13	jɛʁung	j ɛ ʁ u n g	94	17	
273	Greek	cloud	14	sinefo	s i n e f o	98	21	
274	Armenian	cloud	14	ɑmp	ɑ m p	99	21	
314	Greek	come (V)	16	erxome	e r x o m e	117	2	
315	Armenian	come (V)	16	gɑl	g ɑ l	113	2	
335	Greek	die (V)	17	peθeno	p e θ e n o	120	32	
336	Armenian	die (V)	17	mɛrnɛl	m ɛ r n ɛ l	121	32	
354	Greek	dog	18	scilos	s c i l o s	127	47	
355	Armenian	dog	18	ʃun	ʃ u n	123	47	
374	Greek	drink (V)	19	pino	p i n o	132	18	
375	Armenian	drink (V)	19	χəmɛl	χ ə m ɛ l	131	18	
414	Greek	ear	21	afti	a f t i	141	27	
415	Armenian	ear	21	ɑkɑnʤ	ɑ k ɑ n ʤ	141	27	
433	Greek	earth	22	ʝi	ʝ i	142	52	
434	Armenian	earth	22	hoʁ	h o ʁ	146	52	
452	Greek	eat (V)	23	troɣo	t r o ɣ o	153	14	
453	Armenian	eat (V)	23	utɛl	u t ɛ l	150	14	
471	Greek	egg	24	avɣo	a v ɣ o	154	79	
472	Armenian	egg	24	ʣu	ʣ u	155	79	
490	Greek	eye	25	mati	m a t i	158	4	
491	Armenian	eye	25	ɑʧʰkʰ	ɑ ʧʰ kʰ	158	4	
509	Greek	fat	26	lipos	l i p o s	168	83	
510	Armenian	fat	26	ʧɑɾp	ʧ ɑ ɾ p	-161	83	
530	Greek	feather	27	ftero	f t e r o	170	74	
531	Armenian	feather	27	pʰɛtuɾ	pʰ ɛ t u ɾ	-171	74	
550	Greek	fire	28	fotça	f o t ç a	175	96	
551	Armenian	fire	28	kəɾɑk	k ə ɾ ɑ k	180	59	
570	Greek	fish	29	p͡sari	p͡s a r i	185	26	
571	Armenian	fish	29	ʣuk	ʣ u k	183	26	
589	Greek	fly (V)	30	peto	p e t o	191	25	
590	Armenian	fly (V)	30	tʰərʧʰɛl	tʰ ə r ʧʰ ɛ l	191	50	
608	Greek	foot	31	poði	p o ð i	194	9	
609	Armenian	foot	31	votkʰ	v o t kʰ	194	9	
627	Greek	full	32	ʝematos	ʝ e m a t o s	195	90	
628	Armenian	full	32	likʰə	l i kʰ ə	196	90	
646	Greek	give (V)	33	ðino	ð i n o	198	43	
647	Armenian	give (V)	33	tɑl	t ɑ l	198	43	
665	Greek	good	34	kalos	k a l o s	199	69	
666	Armenian	good	34	lɑv	l ɑ v	202	69	
684	Greek	green	35	prasinos	p r a s i n o s	210	99	
685	Armenian	green	35	kɑnɑʧʰ	k ɑ n ɑ ʧʰ	-206	99	
703	Greek	hair	36	trixa	t r i x a	214	91	
704	Armenian	hair	36	mɑz	m ɑ z	-211	91	
722	Greek	hand	37	çeri	ç e r i	219	24	
723	Armenian	hand	37	ʣɛrkʰ	ʣ ɛ r kʰ	219	94	
741	Greek	head	38	cefali	c e f a l i	225	19	
742	Armenian	head	38	gəluχ	g ə l u χ	228	19	
760	Greek	hear (V)	39	akuo	a k uo	230	30	
761	Armenian	hear (V)	39	ləsɛl	l ə s ɛ l	231	30	
779	Greek	heart	40	karðʝa	k a r ð ʝ a	235	61	
780	Armenian	heart	40	siɾt	s i ɾ t	235	61	
798	Greek	horn	41	cerato	c e r a t o	238	20	
799	Armenian	horn	41	poz	p o z	-236	20	
817	Greek	I	42	eɣo	e ɣ o	240	80	
818	Armenian	I	42	jɛs	j ɛ s	240	80	
836	Greek	kill (V)	43	skotono	s k o t o n o	244	35	
837	Armenian	kill (V)	43	spɑnɛl	s p ɑ n ɛ l	241	35	
856	Greek	knee	44	ɣonato	ɣ o n a t o	254	63	
857	Armenian	knee	44	ʦunk	ʦ u n k	254	63	
875	Greek	know (V)	45	k͡sero	k͡s e r o	258	103	
876	Armenian	know (V)	45	gitɛnɑl	g i t ɛ n ɑ l	256	103	
892	Greek	know (V)	45	ɣnorizo	ɣ n o r i z o	257	5	
907	Greek	leaf	46	filo	f i l o	262	42	
908	Armenian	leaf	46	tɛɾɛv	t ɛ ɾ ɛ v	260	42	
947	Greek	liver	48	sikoti	s i k o t i	-274	28	
948	Armenian	liver	48	lɪɑrtʰ	l ɪɑ r tʰ	273	28	
966	Greek	long	49	makris	m a k r i s	282	78	
967	Armenian	long	49	jɛɾkɑɾ	j ɛ ɾ k ɑ ɾ	280	78	
985	Greek	louse	50	p͡sira	p͡s i r a	285	86	
986	Armenian	louse	50	voʧʰil	v o ʧʰ i l	287	86	
1020	Greek	many	52	poliariθmos	p o l ia r i θ m o s	302	97	
1021	Armenian	many	52	ʃɑt	ʃ ɑ t	-298	97	
1043	Greek	meat	53	kreas	k r ea s	304	16	
1044	Armenian	meat	53	mis	m i s	307	16	
1063	Greek	moon	54	selini	s e l i n i	-316	84	
1064	Armenian	moon	54	lusin	l u s i n	311	84	
1083	Greek	mountain	55	oros	o r o s	321	60	
1084	Armenian	mountain	55	sɑɾ	s ɑ ɾ	320	60	
1104	Greek	mouth	56	stoma	s t o m a	330	102	
1105	Armenian	mouth	56	bɛɾɑn	b ɛ ɾ ɑ n	333	102	
1123	Greek	name	57	onoma	o n o m a	334	88	
1124	Armenian	name	57	ɑnun	ɑ n u n	334	88	
1162	Greek	new	59	neos	n eo s	343	40	
1163	Armenian	new	59	noɾ	n o ɾ	343	40	
1181	Greek	night	60	nixta	n i x t a	346	64	
1182	Armenian	night	60	giʃɛɾ	g i ʃ ɛ ɾ	344	64	
1200	Greek	nose	61	miti	m i t i	348	46	
1201	Armenian	nose	61	kʰitʰ	kʰ i tʰ	-349	46	
1237	Greek	one	63	ena	e n a	355	13	
1238	Armenian	one	63	mɛk	m ɛ k	355	13	
1256	Greek	person	64	anθropos	a n θ r o p o s	358	31	
1257	Armenian	person	64	mɑɾtʰ	m ɑ ɾ tʰ	-359	31	
1275	Greek	rain (V)	65	vroçi	v r o ç i	366	1	
1276	Armenian	rain (V)	65	ɑnʣɾɛv	ɑ n ʣ ɾ ɛ v	364	48	
1293	Greek	red	66	kocinos	k o c i n o s	-369	73	
1294	Armenian	red	66	kɑɾmiɾ	k ɑ ɾ m i ɾ	-372	73	
1311	Greek	road	67	ðromos	ð r o m o s	374	85	
1312	Armenian	road	67	ʧɑmpʰɑ	ʧ ɑ m pʰ ɑ	-382	85	
1332	Greek	root	68	oðos	o ð o s	388	70	
1333	Armenian	root	68	ɑɾmɑt	ɑ ɾ m ɑ t	387	70	
1343	Greek	root	68	riza	r i z a	386	70	
1351	Greek	round	69	stroɲɟilos	s t r o ɲ ɟ i l o s	393	66	
1352	Armenian	round	69	kəloɾ	k ə l o ɾ	394	68	
1369	Greek	sand	70	amos	a m o s	398	77	
1370	Armenian	sand	70	ɑvɑz	ɑ v ɑ z	397	77	
1388	Greek	say (V)	71	leɣo	l e ɣ o	410	71	
1389	Armenian	say (V)	71	ɑsɛl	ɑ s ɛ l	406	71	
1408	Greek	see (V)	72	vlepo	v l e p o	415	45	
1409	Armenian	see (V)	72	tɛsnɛl	t ɛ s n ɛ l	416	45	
1427	Greek	seed	73	sporos	s p o r o s	423	72	
1428	Armenian	seed	73	seɾm	s e ɾ m	-419	72	
1447	Greek	sit (V)	74	kaθome	k a θ o m e	426	15	
