ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID	NewCogID	
1	Gongxing	all	1	ʦʰæ₂₂ja₄₂	ʦʰ æ ₂₂ j a ₄₂	1	526	
2	Jinman	all	1	da₄₂t͡ʂɚ₂₂	d a ₄₂ t͡ʂ ɚ ₂₂	5	93	
3	Mazhelong	all	1	so₂₁ji₂₁	s o ₂₁ j i ₂₁	3	252	
4	Dashi	all	1	ʨwan₄₂pu₅₅	ʨ w a n ₄₂ p u ₅₅	2	396	
5	Zhoucheng	all	1	ji₃₁su₃₃	j i ₃₁ s u ₃₃	6	508	
6	Jinxing	all	1	ʦa₃₅kɑ₂₁ʦi₃₃	ʦ a ₃₅ k ɑ ₂₁ ʦ i ₃₃	1	121	
7	Tuolo	all	1	ʨʰa₅₅	ʨʰ a ₅₅	4	467	
8	Enqi	all	1	ʨa₂₄ʁo₂₁ʦi₂₂	ʨ a ₂₄ ʁ o ₂₁ ʦ i ₂₂	1	121	
9	Ega	all	1	da₅₅ŋwa₂₂	d a ₅₅ ŋ w a ₂₂	5	87	
10	Gongxing	ashes	2	xwɛ₂₂ɕy₅₅ʁwa₁₂	x w ɛ ₂₂ ɕ y ₅₅ ʁ w a ₁₂	7	373	
11	Jinman	ashes	2	kʰwa₅₅la₂₁ɕu₅₅	kʰ w a ₅₅ l a ₂₁ ɕ u ₅₅	7	384	
12	Mazhelong	ashes	2	xwa₃₁la₄₄su₅₅	x w a ₃₁ l a ₄₄ s u ₅₅	7	384	
13	Zhoucheng	ashes	2	su₅₅	s u ₅₅	7	343	
14	Jinxing	ashes	2	su₅₅	s u ₅₅	7	343	
15	Tuolo	ashes	2	ʂɤ₅₅	ʂ ɤ ₅₅	7	125	
16	Enqi	ashes	2	xwi₂₂ɕu₂₄	x w i ₂₂ ɕ u ₂₄	7	153	
17	Ega	ashes	2	xwa₅₅lo₂₁ɕu₅₅	x w a ₅₅ l o ₂₁ ɕ u ₅₅	7	384	
18	Gongxing	bark	3	d͡ʐi₁₂bi₂₁	d͡ʐ i ₁₂ b i ₂₁	8	594	
19	Mazhelong	bark	3	ɕen₅₅pe₂₁	ɕ e n ₅₅ p e ₂₁	8	454	
20	Dashi	bark	3	t͡ʂɯ₂₁pe₂₁	t͡ʂ ɯ ₂₁ p e ₂₁	8	594	
21	Zhoucheng	bark	3	ʦɯ₃₁pe₂₁	ʦ ɯ ₃₁ p e ₂₁	8	594	
22	Jinxing	bark	3	ʦɯ₃₁pe₂₁	ʦ ɯ ₃₁ p e ₂₁	8	594	
23	Tuolo	bark	3	djɯ₂₁bi₃₅	d j ɯ ₂₁ b i ₃₅	8	594	
24	Enqi	bark	3	djɯ₄₃pi₂₁	d j ɯ ₄₃ p i ₂₁	8	594	
25	Ega	bark	3	ʥi₄₂ʨyj₂₁qa₅₅	ʥ i ₄₂ ʨ y j ₂₁ q a ₅₅	9	466	
26	Gongxing	belly	4	ʐi₂₁	ʐ i ₂₁	11	209	
27	Jinman	belly	4	ʐɚ₄₂	ʐ ɚ ₄₂	11	92	
28	Mazhelong	belly	4	pɯ₄₄	p ɯ ₄₄	12	163	
29	Dashi	belly	4	fo₄₄	f o ₄₄	12	516	
30	Zhoucheng	belly	4	fɤ₄₄	f ɤ ₄₄	12	447	
31	Jinxing	belly	4	fɤ₄₄	f ɤ ₄₄	12	447	
32	Tuolo	belly	4	fɚ₄₂	f ɚ ₄₂	12	314	
33	Enqi	belly	4	fo₂₄	f o ₂₄	12	516	
34	Ega	belly	4	xu₄₄qʰo₂₂	x u ₄₄ qʰ o ₂₂	10	34	
35	Gongxing	big	5	da₄₂	d a ₄₂	13	242	
36	Jinman	big	5	do₄₂	d o ₄₂	13	472	
37	Mazhelong	big	5	do₄₂	d o ₄₂	13	472	
38	Dashi	big	5	tow₄₂	t o w ₄₂	13	515	
39	Zhoucheng	big	5	to₄₂	t o ₄₂	13	102	
40	Jinxing	big	5	tow₄₂	t o w ₄₂	13	515	
41	Tuolo	big	5	dɔ₂₁	d ɔ ₂₁	13	589	
42	Enqi	big	5	da₄₃	d a ₄₃	13	242	
43	Ega	big	5	do₄₂	d o ₄₂	13	472	
44	Gongxing	bird	6	ʦu₂₄	ʦ u ₂₄	14	451	
45	Jinman	bird	6	ʦo₅₅	ʦ o ₅₅	14	544	
46	Mazhelong	bird	6	ʦo₄₄	ʦ o ₄₄	14	544	
47	Dashi	bird	6	ʦow₃₃	ʦ o w ₃₃	14	544	
48	Zhoucheng	bird	6	ʦow₄₄	ʦ o w ₄₄	14	544	
49	Jinxing	bird	6	ʦow₄₄	ʦ o w ₄₄	14	544	
50	Tuolo	bird	6	ʦu₄₂	ʦ u ₄₂	14	451	
51	Enqi	bird	6	ʦu₅₅	ʦ u ₅₅	14	451	
52	Ega	bird	6	ʦu₄₄	ʦ u ₄₄	14	451	
53	Gongxing	bite (V)	7	ŋa₂₄	ŋ a ₂₄	15	303	
54	Jinman	bite (V)	7	ŋa₄₄	ŋ a ₄₄	15	303	
55	Mazhelong	bite (V)	7	ŋɑ₄₄	ŋ ɑ ₄₄	15	176	
56	Dashi	bite (V)	7	ɣaŋ₄₄	ɣ a ŋ ₄₄	15	243	
57	Zhoucheng	bite (V)	7	ŋa₄₄	ŋ a ₄₄	15	303	
58	Jinxing	bite (V)	7	ɑ̃₄₄	ɑ̃ ₄₄	15	293	
59	Tuolo	bite (V)	7	ŋɔ₄₂	ŋ ɔ ₄₂	15	574	
60	Enqi	bite (V)	7	ɴa₅₅	ɴ a ₅₅	15	237	
61	Ega	bite (V)	7	ŋo₄₄	ŋ o ₄₄	15	445	
62	Gongxing	black	8	χe₂₄	χ e ₂₄	16	299	
63	Jinman	black	8	xɯ₅₅	x ɯ ₅₅	16	586	
64	Mazhelong	black	8	xɯ₄₄	x ɯ ₄₄	16	586	
65	Dashi	black	8	xɯ₄₄	x ɯ ₄₄	16	586	
66	Zhoucheng	black	8	xɯ₄₄	x ɯ ₄₄	16	586	
67	Jinxing	black	8	xɯ₄₄	x ɯ ₄₄	16	586	
68	Tuolo	black	8	xɚ₄₂	x ɚ ₄₂	16	586	
69	Enqi	black	8	χɯ₅₅	χ ɯ ₅₅	16	586	
70	Ega	black	8	xɯ₄₄	x ɯ ₄₄	16	586	
71	Gongxing	blood	9	swa₂₄	s w a ₂₄	17	624	
72	Jinman	blood	9	swa₅₅	s w a ₅₅	17	624	
73	Mazhelong	blood	9	swa₄₄	s w a ₄₄	17	624	
74	Dashi	blood	9	sʰwa₄₄	sʰ w a ₄₄	17	624	
75	Zhoucheng	blood	9	swa₄₄	s w a ₄₄	17	624	
76	Jinxing	blood	9	swɑ₄₄	s w ɑ ₄₄	17	35	
77	Tuolo	blood	9	swɔ₄₂	s w ɔ ₄₂	17	581	
78	Enqi	blood	9	swa₅₅	s w a ₅₅	17	624	
79	Ega	blood	9	swa₄₄	s w a ₄₄	17	624	
80	Gongxing	bone	10	qwa₂₄	q w a ₂₄	18	423	
81	Jinman	bone	10	qwa₅₅ʦe₅₅	q w a ₅₅ ʦ e ₅₅	18	381	
82	Mazhelong	bone	10	kwa₄₄twɤ₄₄	k w a ₄₄ t w ɤ ₄₄	18	381	
83	Dashi	bone	10	kwa₄₄tjǝ₃₃	k w a ₄₄ t j ǝ ₃₃	18	381	
84	Zhoucheng	bone	10	kwa₄₄tɯ₃₃	k w a ₄₄ t ɯ ₃₃	18	381	
85	Jinxing	bone	10	kwɑ₄₄tǝ₄₂	k w ɑ ₄₄ t ǝ ₄₂	18	381	
86	Tuolo	bone	10	ku₄₂djɯ₃₅ʦɛ₄₂	k u ₄₂ d j ɯ ₃₅ ʦ ɛ ₄₂	18	612	
87	Enqi	bone	10	qwa₅₅	q w a ₅₅	18	423	
88	Ega	bone	10	qwa₄₄	q w a ₄₄	18	423	
89	Gongxing	breast	11	ba₂₁	b a ₂₁	20	130	
90	Jinman	breast	11	pa₄₂	p a ₄₂	20	475	
91	Mazhelong	breast	11	noŋ₃₃	n o ŋ ₃₃	19	50	
92	Dashi	breast	11	pa₄₂	p a ₄₂	20	475	
93	Zhoucheng	breast	11	pa₄₂	p a ₄₂	20	475	
94	Jinxing	breast	11	pɑ₄₂	p ɑ ₄₂	20	24	
95	Tuolo	breast	11	bo₄₂	b o ₄₂	20	468	
96	Enqi	breast	11	pa₂₁	p a ₂₁	20	475	
97	Ega	breast	11	pa₄₂	p a ₄₂	20	475	
98	Gongxing	burn (V)	12	ɕy₂₂	ɕ y ₂₂	24	288	
99	Jinman	burn (V)	12	fɤ₅₅ji₅₅	f ɤ ₅₅ j i ₅₅	21	71	
100	Mazhelong	burn (V)	12	sɤ₅₅	s ɤ ₅₅	24	564	
101	Dashi	burn (V)	12	ʂu₅₅	ʂ u ₅₅	24	432	
102	Zhoucheng	burn (V)	12	ɲɯ₃₃	ɲ ɯ ₃₃	23	19	
103	Jinxing	burn (V)	12	jĩ₃₃	j ĩ ₃₃	23	577	
104	Tuolo	burn (V)	12	jen₃₃	j e n ₃₃	23	114	
105	Enqi	burn (V)	12	xu₂₄	x u ₂₄	22	138	
106	Ega	burn (V)	12	fi₂₂pɛ₂₂	f i ₂₂ p ɛ ₂₂	21	25	
107	Gongxing	burn (V)	12	ɕy₅₅	ɕ y ₅₅	24	197	
108	Mazhelong	burn (V)	12	fi₃₃kʰǝɯ₅₅	f i ₃₃ kʰ ǝɯ ₅₅	21	97	
109	Zhoucheng	burn (V)	12	su₅₅	s u ₅₅	24	362	
110	Gongxing	claw	13	t͡ʂi₂₄qa₂₄	t͡ʂ i ₂₄ q a ₂₄	25	409	
111	Jinman	claw	13	qa₄₄	q a ₄₄	25	219	
112	Mazhelong	claw	13	sǝɯ₃₃kɚ₄₄	s ǝɯ ₃₃ k ɚ ₄₄	25	620	
113	Dashi	claw	13	ʂɯ₃₃ka₄₄	ʂ ɯ ₃₃ k a ₄₄	25	621	
114	Zhoucheng	claw	13	sɯ₃₃ka₄₄	s ɯ ₃₃ k a ₄₄	25	621	
115	Jinxing	claw	13	sɯ₃₃ka₄₄	s ɯ ₃₃ k a ₄₄	25	621	
116	Tuolo	claw	13	ɕɯ₃₃qa₄₂	ɕ ɯ ₃₃ q a ₄₂	25	621	
117	Enqi	claw	13	tjɯ₂₁qa₂₄	t j ɯ ₂₁ q a ₂₄	25	621	
118	Ega	claw	13	ɕi₂₂qa₄₄	ɕ i ₂₂ q a ₄₄	25	621	
119	Gongxing	cloud	14	ŋɛ₁₂qǝ₅₅	ŋ ɛ ₁₂ q ǝ ₅₅	26	380	
120	Jinman	cloud	14	mɯ₂₁ko₄₂	m ɯ ₂₁ k o ₄₂	28	355	
121	Mazhelong	cloud	14	ɥen₂₁pe₂₁	ɥ e n ₂₁ p e ₂₁	27	70	
122	Dashi	cloud	14	vɤ̃₂₁nõ₂₁	v ɤ̃ ₂₁ n õ ₂₁	29	294	
123	Zhoucheng	cloud	14	ɤ₂₁	ɤ ₂₁	30	323	
124	Jinxing	cloud	14	ɤ̃₂₁	ɤ̃ ₂₁	30	94	
125	Tuolo	cloud	14	ŋɔ₃₅qa₄₂	ŋ ɔ ₃₅ q a ₄₂	26	583	
126	Enqi	cloud	14	ʁæ₂₁	ʁ æ ₂₁	30	98	
127	Ega	cloud	14	mɯ̃₂₁ko₄₂	m ɯ̃ ₂₁ k o ₄₂	28	355	
