ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID	NewCogID	
1	German	all	1	al	a l	1	256	
2	English	all	1	ɔːl	ɔː l	1	104	
3	Danish	all	1	æˀl	æˀ l	1	256	
4	Swedish	all	1	alː	a lː	1	256	
5	Icelandic	all	1	at͡lir	a t͡l i r	1	227	
6	Dutch	all	1	ɑlə	ɑ l ə	1	189	
7	Norwegian	all	1	ɑlə	ɑ l ə	1	189	
8	German	ashes	2	aʃə	a ʃ ə	2	95	
9	English	ashes	2	æʃ	æ ʃ	2	95	
10	Danish	ashes	2	asg	a s g	2	342	
11	Swedish	ashes	2	asːka	a sː k a	2	342	
12	Icelandic	ashes	2	aska	a s k a	2	342	
13	Dutch	ashes	2	ɑs	ɑ s	2	121	
14	Norwegian	ashes	2	ɑsk	ɑ s k	-2	342	
15	German	bark	3	rɪndə	r ɪ n d ə	5	141	
16	English	bark	3	bɑːrk	b ɑː r k	-4	184	
17	Danish	bark	3	bɑːg	b ɑː g	4	184	
18	Swedish	bark	3	barːk	b a rː k	4	184	
19	Icelandic	bark	3	bœrkʏr	b œ r k ʏ r	4	175	
20	Dutch	bark	3	bɑst	b ɑ s t	3	99	
21	Norwegian	bark	3	bɑɾk	b ɑ ɾ k	-4	184	
22	German	belly	4	baux	b au x	7	251	
23	English	belly	4	bɛlɪ	b ɛ l ɪ	8	337	
24	Danish	belly	4	ɔnʌliwˀ	ɔ n ʌ l i wˀ	6	85	
25	Swedish	belly	4	maːge	m aː g e	9	187	
26	Icelandic	belly	4	kʰvɪːðʏr	kʰ v ɪː ð ʏ r	10	309	
27	Dutch	belly	4	bœyk	b œy k	7	251	
28	Norwegian	belly	4	mɑːgə	m ɑː g ə	9	203	
29	Danish	belly	4	mæːvə	m æː v ə	9	187	
30	Swedish	belly	4	buk	b u k	7	251	
31	Norwegian	belly	4	bʉːk	b ʉː k	7	251	
32	German	big	5	ɡroːs	ɡ r oː s	13	83	
33	English	big	5	bɪɡ	b ɪ ɡ	12	241	
34	Danish	big	5	sdoˀʁ	s d oˀ ʁ	11	396	
35	Swedish	big	5	stoːr	s t oː r	11	396	
36	Icelandic	big	5	stouːr	s t ouː r	11	396	
37	Dutch	big	5	xroːt	x r oː t	13	83	
38	Norwegian	big	5	stuːɾ	s t uː ɾ	-11	396	
39	English	big	5	ɡreɪt	ɡ r eɪ t	13	108	
40	Icelandic	big	5	mɪːcɪt͡l	m ɪː c ɪ t͡l	14	236	
41	German	bird	6	foːɡəl	f oː ɡ ə l	16	332	
42	English	bird	6	bɜːrd	b ɜː r d	15	34	
43	Danish	bird	6	fuˀl	f uˀ l	16	112	
44	Swedish	bird	6	foːgel	f oː g e l	16	332	
45	Icelandic	bird	6	fʏkl	f ʏ k l	16	332	
46	Dutch	bird	6	voːɣəl	v oː ɣ ə l	16	332	
47	Norwegian	bird	6	fʉːl	f ʉː l	16	112	
48	German	bite (V)	7	baisən	b ai s ə n	17	148	
49	English	bite (V)	7	baɪt	b aɪ t	17	148	
50	Danish	bite (V)	7	biːðə	b iː ð ə	17	148	
51	Swedish	bite (V)	7	biːta	b iː t a	17	148	
52	Icelandic	bite (V)	7	piːta	p iː t a	17	148	
53	Dutch	bite (V)	7	bɛɪtə	b ɛɪ t ə	17	148	
54	Norwegian	bite (V)	7	biːtə	b iː t ə	17	148	
55	German	black	8	ʃvart͡s	ʃ v a r t͡s	19	313	
56	English	black	8	blæk	b l æ k	18	397	
57	Danish	black	8	sɒːd	s ɒː d	19	276	
58	Swedish	black	8	svartː	s v a r tː	19	313	
59	Icelandic	black	8	svar̥tʏr	s v a r̥ t ʏ r	19	313	
60	Dutch	black	8	zʋɑrt	z ʋ ɑ r t	19	391	
61	Norwegian	black	8	sɔʈ	s ɔ ʈ	19	168	
62	German	blood	9	bluːt	b l uː t	20	385	
63	English	blood	9	blʌd	b l ʌ d	20	385	
64	Danish	blood	9	bloˀð	b l oˀ ð	20	385	
65	Swedish	blood	9	bloːd	b l oː d	20	385	
66	Icelandic	blood	9	plouːθ	p l ouː θ	20	385	
67	Dutch	blood	9	bluːt	b l uː t	20	385	
68	Norwegian	blood	9	bluː	b l uː	20	385	
69	German	bone	10	knɔxən	k n ɔ x ə n	22	111	
70	English	bone	10	bəʊn	b əʊ n	21	12	
71	Danish	bone	10	beˀn	b eˀ n	21	380	
72	Swedish	bone	10	beːn	b eː n	21	380	
73	Icelandic	bone	10	peiːn	p eiː n	21	380	
74	Dutch	bone	10	beːn	b eː n	21	380	
75	Norwegian	bone	10	beːn	b eː n	21	380	
76	German	breast	11	brʊst	b r ʊ s t	23	328	
77	English	breast	11	brɛst	b r ɛ s t	23	328	
78	Danish	breast	11	bʁœsd	b ʁ œ s d	23	328	
79	Swedish	breast	11	brøst	b r ø s t	23	328	
80	Icelandic	breast	11	b̥rjousd̥	b̥ r j ou s d̥	23	328	
81	Dutch	breast	11	bɔrst	b ɔ r s t	23	328	
82	Norwegian	breast	11	bɾyst	b ɾ y s t	-23	328	
83	German	burn (V)	12	brɛnən	b r ɛ n ə n	24	363	
84	English	burn (V)	12	bɜːrn	b ɜː r n	24	190	
85	Danish	burn (V)	12	bʁanə	b ʁ a n ə	24	363	
86	Swedish	burn (V)	12	brɛnːa	b r ɛ nː a	24	363	
87	Icelandic	burn (V)	12	b̥rɛtna	b̥ r ɛ t n a	24	363	
88	Dutch	burn (V)	12	brɑndə	b r ɑ n d ə	24	363	
89	Norwegian	burn (V)	12	bɾenə	b ɾ e n ə	24	363	
90	German	claw	13	naːɡəl	n aː ɡ ə l	25	200	
91	English	claw	13	neɪl	n eɪ l	25	200	
92	Danish	claw	13	nɑjˀl	n ɑ jˀ l	25	200	
93	Swedish	claw	13	naːgel	n aː g e l	25	200	
94	Icelandic	claw	13	nakl	n a k l	25	200	
95	Dutch	claw	13	naːɣəl	n aː ɣ ə l	25	200	
96	Norwegian	claw	13	næjl	n æ j l	25	200	
97	German	cloud	14	vɔlkə	v ɔ l k ə	26	139	
98	English	cloud	14	klaʊd	k l aʊ d	29	45	
99	Danish	cloud	14	sgyˀ	s g yˀ	28	79	
100	Swedish	cloud	14	ɧyː	ɧ yː	28	302	
101	Icelandic	cloud	14	sciː	s c iː	28	157	
102	Dutch	cloud	14	ʋɔlk	ʋ ɔ l k	26	13	
103	Norwegian	cloud	14	ʃyː	ʃ yː	-28	316	
104	Swedish	cloud	14	moːln	m oː l n	27	118	
105	German	cold	15	kalt	k a l t	30	340	
106	English	cold	15	kəʊld	k əʊ l d	30	16	
107	Danish	cold	15	kʌlˀ	k ʌ lˀ	30	340	
108	Swedish	cold	15	kalː	k a lː	30	340	
109	Icelandic	cold	15	kʰaltʏr	kʰ a l t ʏ r	30	340	
110	Dutch	cold	15	kɑut	k ɑu t	30	136	
111	Norwegian	cold	15	kɑl	k ɑ l	-30	340	
112	German	come (V)	16	kɔmən	k ɔ m ə n	31	376	
113	English	come (V)	16	kʌm	k ʌ m	31	376	
114	Danish	come (V)	16	kʌmə	k ʌ m ə	31	376	
115	Swedish	come (V)	16	komːa	k o mː a	31	376	
116	Icelandic	come (V)	16	kʰɔːma	kʰ ɔː m a	31	376	
117	Dutch	come (V)	16	aːŋkoːmə	aː ŋ k oː m ə	31	221	
118	Norwegian	come (V)	16	kɔmə	k ɔ m ə	31	376	
119	German	die (V)	17	ʃtɛrbən	ʃ t ɛ r b ə n	32	109	
120	English	die (V)	17	daɪ	d aɪ	-33	88	
121	Danish	die (V)	17	døˀ	d øˀ	33	326	
122	Swedish	die (V)	17	dø	d ø	33	326	
123	Icelandic	die (V)	17	teiːja	t eiː j a	33	61	
124	Dutch	die (V)	17	stɛrvə	s t ɛ r v ə	32	109	
125	Norwegian	die (V)	17	døː	d øː	33	326	
126	German	dog	18	hʊnt	h ʊ n t	35	327	
127	English	dog	18	dɔɡ	d ɔ ɡ	34	305	
128	Danish	dog	18	hunˀ	h u nˀ	35	31	
129	Swedish	dog	18	hunːd	h u nː d	35	327	
130	Icelandic	dog	18	hʏntʏr	h ʏ n t ʏ r	35	327	
131	Dutch	dog	18	hɔnt	h ɔ n t	35	327	
132	Norwegian	dog	18	hʉn	h ʉ n	-35	31	
133	German	drink (V)	19	trɪŋkən	t r ɪ ŋ k ə n	36	288	
134	English	drink (V)	19	drɪŋk	d r ɪ ŋ k	36	288	
135	Danish	drink (V)	19	dʁɛgə	d ʁ ɛ g ə	36	288	
136	Swedish	drink (V)	19	drikːa	d r i kː a	36	288	
137	Icelandic	drink (V)	19	trɛʰka	t r ɛʰ k a	36	288	
138	Dutch	drink (V)	19	drɪŋkə	d r ɪ ŋ k ə	36	288	
139	Norwegian	drink (V)	19	dɾikə	d ɾ i k ə	-36	288	
140	German	dry	20	trɔkən	t r ɔ k ə n	38	29	
141	English	dry	20	draɪ	d r aɪ	38	292	
142	Danish	dry	20	tɶˀʁ	t ɶˀ ʁ	37	229	
143	Swedish	dry	20	torː	t o rː	37	173	
144	Icelandic	dry	20	θʏrː	θ ʏ rː	37	102	
145	Dutch	dry	20	droːx	d r oː x	38	218	
146	Norwegian	dry	20	tœɾ	t œ ɾ	37	173	
147	German	ear	21	oːr	oː r	39	272	
148	English	ear	21	ɪər	ɪə r	39	202	
149	Danish	ear	21	øːʌ	øːʌ	39	3	
150	Swedish	ear	21	øːra	øː r a	39	126	
151	Icelandic	ear	21	eiːra	eiː r a	39	52	
152	Dutch	ear	21	oːr	oː r	39	272	
153	Norwegian	ear	21	øːɾə	øː ɾ ə	39	126	
154	German	earth	22	eːrdə	eː r d ə	40	252	
155	English	earth	22	ɜːrθ	ɜː r θ	40	2	
156	Danish	earth	22	joˀʁ	j oˀ ʁ	40	106	
157	Swedish	earth	22	joːrd	j oː r d	40	182	
158	Icelandic	earth	22	jœrð	j œ r ð	40	206	
159	Dutch	earth	22	aːrdə	aː r d ə	40	252	
160	Norwegian	earth	22	juːɾ	j uː ɾ	-40	22	
161	German	eat (V)	23	ɛsən	ɛ s ə n	42	93	
162	English	eat (V)	23	iːt	iː t	42	192	
163	Danish	eat (V)	23	sbiːsə	s b iː s ə	-41	35	
164	Swedish	eat (V)	23	ɛːta	ɛː t a	42	127	
165	Icelandic	eat (V)	23	pɔrða	p ɔ r ð a	43	230	
166	Dutch	eat (V)	23	eːtə	eː t ə	42	152	
167	Norwegian	eat (V)	23	spiːsə	s p iː s ə	-41	35	
168	German	egg	24	ai	ai	44	362	
169	English	egg	24	ɛɡ	ɛ ɡ	44	320	
170	Danish	egg	24	ɛˀg	ɛˀ g	44	320	
171	Swedish	egg	24	egː	e gː	44	320	
172	Icelandic	egg	24	ɛkː	ɛ kː	44	320	
173	Dutch	egg	24	ɛɪ	ɛɪ	44	48	
174	Norwegian	egg	24	eg	e g	44	320	
175	German	eye	25	auɡə	au ɡ ə	45	7	
176	English	eye	25	aɪ	aɪ	45	205	
177	Danish	eye	25	ʌjə	ʌ j ə	45	344	
178	Swedish	eye	25	øːga	øː g a	45	115	
179	Icelandic	eye	25	øyːɣa	øyː ɣ a	45	115	
180	Dutch	eye	25	oːx	oː x	45	25	
181	Norwegian	eye	25	œjə	œ j ə	45	344	
182	German	fat	26	fɛt	f ɛ t	-46	374	
183	English	fat	26	fæt	f æ t	46	374	
184	Danish	fat	26	fed	f e d	46	374	
185	Swedish	fat	26	fɛt	f ɛ t	46	374	
186	Icelandic	fat	26	fɪːta	f ɪː t a	46	125	
187	Dutch	fat	26	vɛt	v ɛ t	46	374	
188	Norwegian	fat	26	fet	f e t	-46	374	
189	German	feather	27	feːdər	f eː d ə r	47	160	
190	English	feather	27	fɛðər	f ɛ ð ə r	47	160	
191	Danish	feather	27	fjeðˀʌ	f j e ðˀ ʌ	47	160	
192	Swedish	feather	27	fjɛːder	f j ɛː d e r	47	160	
193	Icelandic	feather	27	fjœːðʏr	f j œː ð ʏ r	47	160	
194	Dutch	feather	27	veːr	v eː r	47	296	
195	Norwegian	feather	27	fjæːɾ	f j æː ɾ	47	296	
196	German	fire	28	fɔyər	f ɔyə r	48	57	
197	English	fire	28	faɪər	f aɪə r	48	57	
198	Danish	fire	28	ilˀ	i lˀ	50	188	
199	Swedish	fire	28	elːd	e lː d	50	49	
200	Icelandic	fire	28	ɛltʏr	ɛ l t ʏ r	50	100	
201	Dutch	fire	28	vyːr	v yː r	48	81	
202	Norwegian	fire	28	ʋɑɾmə	ʋ ɑ ɾ m ə	49	27	
203	Norwegian	fire	28	il	i l	50	188	
204	German	fish	29	fɪʃ	f ɪ ʃ	51	358	
205	English	fish	29	fɪʃ	f ɪ ʃ	51	358	
206	Danish	fish	29	fesg	f e s g	51	358	
207	Swedish	fish	29	fisːk	f i sː k	51	358	
208	Icelandic	fish	29	fɪskʏr	f ɪ s k ʏ r	51	358	
209	Dutch	fish	29	vɪs	v ɪ s	51	358	
210	Norwegian	fish	29	fisk	f i s k	51	358	
211	German	fly (V)	30	fliːɡən	f l iː ɡ ə n	52	383	
212	English	fly (V)	30	flaɪ	f l aɪ	52	163	
213	Danish	fly (V)	30	flyːvə	f l yː v ə	52	383	
214	Swedish	fly (V)	30	flʉga	f l ʉ g a	52	150	
215	Icelandic	fly (V)	30	fljuːa	f l j uːa	52	383	
216	Dutch	fly (V)	30	vliːɣə	v l iː ɣ ə	52	383	
217	Norwegian	fly (V)	30	flyː	f l yː	52	383	
218	German	foot	31	fuːs	f uː s	53	347	
219	English	foot	31	fʊt	f ʊ t	53	347	
220	Danish	foot	31	foˀð	f oˀ ð	53	389	
221	Swedish	foot	31	foːt	f oː t	53	347	
222	Icelandic	foot	31	fouːtʏr	f ouː t ʏ r	53	284	
223	Dutch	foot	31	vuːt	v uː t	53	347	
224	Norwegian	foot	31	fuːt	f uː t	53	347	
225	German	full	32	fɔl	f ɔ l	54	299	
226	English	full	32	fʊl	f ʊ l	54	299	
227	Danish	full	32	fulˀ	f u lˀ	54	299	
228	Swedish	full	32	fulː	f u lː	54	299	
