ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID	NewCogID	
1	German	all	1	al	a l	1	146	
2	English	all	1	ɔːl	ɔː l	1	146	
3	Danish	all	1	æˀl	æˀ l	1	146	
4	Swedish	all	1	alː	a lː	1	146	
5	Icelandic	all	1	at͡lir	a t͡l i r	1	146	
6	Dutch	all	1	ɑlə	ɑ l ə	1	146	
7	Norwegian	all	1	ɑlə	ɑ l ə	1	146	
8	German	ashes	2	aʃə	a ʃ ə	2	221	
9	English	ashes	2	æʃ	æ ʃ	2	221	
10	Danish	ashes	2	asg	a s g	2	221	
11	Swedish	ashes	2	asːka	a sː k a	2	221	
12	Icelandic	ashes	2	aska	a s k a	2	221	
13	Dutch	ashes	2	ɑs	ɑ s	2	221	
14	Norwegian	ashes	2	ɑsk	ɑ s k	-2	221	
15	German	bark	3	rɪndə	r ɪ n d ə	5	72	
16	English	bark	3	bɑːrk	b ɑː r k	-4	96	
17	Danish	bark	3	bɑːg	b ɑː g	4	96	
18	Swedish	bark	3	barːk	b a rː k	4	96	
19	Icelandic	bark	3	bœrkʏr	b œ r k ʏ r	4	96	
20	Dutch	bark	3	bɑst	b ɑ s t	3	47	
21	Norwegian	bark	3	bɑɾk	b ɑ ɾ k	-4	96	
22	German	belly	4	baux	b au x	7	142	
23	English	belly	4	bɛlɪ	b ɛ l ɪ	8	216	
24	Danish	belly	4	ɔnʌliwˀ	ɔ n ʌ l i wˀ	6	40	
25	Swedish	belly	4	maːge	m aː g e	9	108	
26	Icelandic	belly	4	kʰvɪːðʏr	kʰ v ɪː ð ʏ r	10	193	
27	Dutch	belly	4	bœyk	b œy k	7	142	
28	Norwegian	belly	4	mɑːgə	m ɑː g ə	9	108	
29	Danish	belly	4	mæːvə	m æː v ə	9	108	
30	Swedish	belly	4	buk	b u k	7	142	
31	Norwegian	belly	4	bʉːk	b ʉː k	7	142	
32	German	big	5	ɡroːs	ɡ r oː s	13	51	
33	English	big	5	bɪɡ	b ɪ ɡ	12	133	
34	Danish	big	5	sdoˀʁ	s d oˀ ʁ	11	270	
35	Swedish	big	5	stoːr	s t oː r	11	270	
36	Icelandic	big	5	stouːr	s t ouː r	11	270	
37	Dutch	big	5	xroːt	x r oː t	13	51	
38	Norwegian	big	5	stuːɾ	s t uː ɾ	-11	270	
39	English	big	5	ɡreɪt	ɡ r eɪ t	13	51	
40	Icelandic	big	5	mɪːcɪt͡l	m ɪː c ɪ t͡l	14	129	
41	German	bird	6	foːɡəl	f oː ɡ ə l	16	211	
42	English	bird	6	bɜːrd	b ɜː r d	15	12	
43	Danish	bird	6	fuˀl	f uˀ l	16	211	
44	Swedish	bird	6	foːgel	f oː g e l	16	211	
45	Icelandic	bird	6	fʏkl	f ʏ k l	16	211	
46	Dutch	bird	6	voːɣəl	v oː ɣ ə l	16	211	
47	Norwegian	bird	6	fʉːl	f ʉː l	16	211	
48	German	bite (V)	7	baisən	b ai s ə n	17	75	
49	English	bite (V)	7	baɪt	b aɪ t	17	75	
