ID	Language	Gloss	GlossID	CogID	IPA	Tokens	NewCogID	
1	Maloh	hand	1	155	taŋan	t a ŋ a n	837	
2	Merina (Malagasy)	hand	1	155	tanana	t a n a n a	837	
3	Thao	hand	1	446	rima	r i m a	837	
4	Palauan	hand	1	446	cʰim	cʰ i m	837	
5	Tunjung	hand	1	155	aŋaʔ	a ŋ a ʔ	837	
6	Bare'e	hand	1	1484	pale	p a l e	837	
7	Iban	hand	1	155	taŋan	t a ŋ a n	837	
8	Iban	hand	1	1556	jari	j a r i	837	
9	Berawan (Long Terawan)	hand	1	481	tisu	t i s u	837	
10	Berawan (Long Terawan)	hand	1	481	isu	i s u	837	
11	Hanunoo	hand	1	1796	kamaŋ	k a m a ŋ	837	
12	Wuna	hand	1	446	lima	l i m a	837	
13	Tetum	hand	1	446	liman	l i m a n	837	
14	Mailu	hand	1	446	ima	i m a	837	
15	Tsou	hand	1	350	mucu	m u c u	439	
16	Nias	hand	1	155	taŋa	t a ŋ a	837	
17	Central Amis	hand	1	19	kamaj	k a m a j	837	
18	Chamorro	hand	1	2515	kanːai	k a nː a i	837	
19	Banoni	hand	1	446	numa	n u m a	837	
20	Singhi	hand	1	155	toŋan	t o ŋ a n	837	
21	Maloh	left	2	1000	kajoko	k a j o k o	674	
22	Merina (Malagasy)	left	2	-483	havia	h a v i a	674	
23	Palauan	left	2	1253	katur	k a t u r	674	
24	Tunjung	left	2	645	ulaj	u l a j	674	
25	Bare'e	left	2	483	kaiː	k a iː	558	
26	Iban	left	2	560	kibaʔ	k i b a ʔ	674	
27	Berawan (Long Terawan)	left	2	645	pəmaiŋ	p ə m a i ŋ	674	
28	Moken	left	2	1702	ʔeloj	ʔ e l o j	674	
29	Hanunoo	left	2	159	wala	w a l a	674	
30	Wuna	left	2	98	kema	k e m a	674	
31	Tetum	left	2	1881	karuk	k a r u k	674	
32	Mailu	left	2	1934	ebe	e b e	674	
33	Tsou	left	2	483	vrina	v r i n a	574	
34	Nias	left	2	2227	kabera	k a b e r a	674	
35	Central Amis	left	2	483	kawili	k a w i l i	674	
36	Chamorro	left	2	2516	akague	a k a g u e	674	
37	Banoni	left	2	2601	tororona	t o r o r o n a	674	
38	Singhi	left	2	2743	bait	b a i t	674	
39	Banggi	left	2	-159	kuikiwaŋ	k u i k i w a ŋ	419	
40	Maloh	right	3	-519	kato	k a t o	729	
41	Merina (Malagasy)	right	3	255	havanana	h a v a n a n a	729	
42	Palauan	right	3	1254	kadikm	k a d i k m	729	
43	Tunjung	right	3	519	tauʔ	t a u ʔ	729	
44	Bare'e	right	3	255	kana	k a n a	729	
45	Iban	right	3	255	kanan	k a n a n	729	
46	Berawan (Long Terawan)	right	3	519	pəŋkatuʔoh	p ə ŋ k a t u ʔ o h	729	
47	Moken	right	3	255	nanaːn	n a n aː n	729	
48	Hanunoo	right	3	-184	sikun	s i k u n	729	
49	Wuna	right	3	255	swana	s w a n a	729	
50	Tetum	right	3	255	kwana	k w a n a	729	
51	Mailu	right	3	1935	iata	i a t a	329	
52	Tsou	right	3	255	vhona	v h o n a	729	
53	Nias	right	3	2228	kawõlõ	k a w õ l õ	284	
54	Central Amis	right	3	255	kawanan	k a w a n a n	729	
55	Banoni	right	3	519	matoː	m a t oː	729	
56	Singhi	right	3	519	toux	t o u x	729	
57	Banggi	right	3	-184	kikuan	k i k u a n	729	
58	Merina (Malagasy)	leg/foot	4	-97	ranjo	r a n j o	932	
59	Merina (Malagasy)	leg/foot	4	1053	toŋotra	t o ŋ o t r a	938	
60	Thao	leg/foot	4	1161	kuskus	k u s k u s	932	
61	Palauan	leg/foot	4	-290	oacʰ	o a cʰ	932	
62	Tunjung	leg/foot	4	1401	uneŋ	u n e ŋ	932	
63	Bare'e	leg/foot	4	28	witi	w i t i	932	
64	Iban	leg/foot	4	290	kaki	k a k i	932	
65	Iban	leg/foot	4	1557	pah	p a h	932	
66	Berawan (Long Terawan)	leg/foot	4	366	gimaʔ	g i m a ʔ	932	
67	Moken	leg/foot	4	199	pakaʔ	p a k a ʔ	932	
68	Moken	leg/foot	4	290	kakaj	k a k a j	932	
69	Hanunoo	leg/foot	4	1797	raparapa	r a p a r a p a	932	
70	Wuna	leg/foot	4	290	gʰagʰe	gʰ a gʰ e	932	
71	Tetum	leg/foot	4	290	ain	a i n	932	
72	Mailu	leg/foot	4	1936	au	a u	932	
73	Tsou	leg/foot	4	2099	ruru	r u r u	176	
74	Nias	leg/foot	4	290	ahe	a h e	932	
75	Central Amis	leg/foot	4	290	waqaj	w a q a j	932	
76	Chamorro	leg/foot	4	2517	adːeŋ	a dː e ŋ	932	
77	Banoni	leg/foot	4	2602	rapinːa	r a p i nː a	370	
78	Singhi	leg/foot	4	2744	peun	p e u n	932	
79	Banggi	leg/foot	4	290	uei	u e i	932	
80	Maloh	to walk	5	563	lambaʔ	l a m b a ʔ	807	
81	Merina (Malagasy)	to walk	5	1054	mandéha	m a n d é h a	638	
82	Palauan	to walk	5	212	merael	m e r a e l	807	
83	Tunjung	to walk	5	212	calan	c a l a n	807	
84	Bare'e	to walk	5	99	linja	l i n j a	807	
85	Iban	to walk	5	212	jalai	j a l a i	807	
86	Berawan (Long Terawan)	to walk	5	57	lakaw	l a k a w	807	
87	Moken	to walk	5	57	lakaw	l a k a w	807	
88	Hanunoo	to walk	5	57	lumakaw	l u m a k a w	807	
89	Wuna	to walk	5	362	nokala	n o k a l a	807	
90	Tetum	to walk	5	57	laʔo	l a ʔ o	807	
91	Mailu	to walk	5	1937	baebae	b a e b a e	807	
92	Tsou	to walk	5	2100	coeconʉ	c o e c o n ʉ	850	
93	Nias	to walk	5	416	fanõ	f a n õ	807	
94	Central Amis	to walk	5	690	lumakat	l u m a k a t	807	
95	Central Amis	to walk	5	690	rumakat	r u m a k a t	807	
96	Chamorro	to walk	5	57	lahu	l a h u	807	
97	Singhi	to walk	5	416	ponu	p o n u	807	
98	Banggi	to walk	5	416	empaːno	e m p aː n o	807	
99	Maloh	road/path	6	95	dalan	d a l a n	642	
100	Merina (Malagasy)	road/path	6	95	lalana	l a l a n a	642	
101	Thao	road/path	6	95	saran	s a r a n	642	
102	Palauan	road/path	6	95	rael	r a e l	642	
103	Tunjung	road/path	6	95	loroŋ	l o r o ŋ	941	
104	Bare'e	road/path	6	95	jaja	j a j a	642	
105	Iban	road/path	6	95	jalai	j a l a i	642	
106	Berawan (Long Terawan)	road/path	6	95	ilan	i l a n	642	
107	Hanunoo	road/path	6	95	dalan	d a l a n	642	
108	Wuna	road/path	6	95	sala	s a l a	642	
109	Tetum	road/path	6	95	dalan	d a l a n	642	
110	Mailu	road/path	6	1938	laea	l a e a	642	
111	Tsou	road/path	6	95	ceonʉ	c e o n ʉ	642	
112	Nias	road/path	6	95	lala	l a l a	642	
113	Central Amis	road/path	6	95	lalan	l a l a n	642	
114	Chamorro	road/path	6	95	cʰalan	cʰ a l a n	642	
115	Banoni	road/path	6	95	sanana	s a n a n a	642	
116	Singhi	road/path	6	95	aran	a r a n	642	
117	Maloh	to come	7	1001	mondok	m o n d o k	846	
118	Merina (Malagasy)	to come	7	154	avj	a v j	846	
119	Merina (Malagasy)	to come	7	1055	toŋa	t o ŋ a	533	
120	Thao	to come	7	1162	munaj	m u n a j	846	
121	Palauan	to come	7	719	méi	m é i	846	
122	Tunjung	to come	7	1402	moːt	m oː t	846	
123	Bare'e	to come	7	719	maʔi	m a ʔ i	846	
124	Iban	to come	7	-561	datai	d a t a i	846	
125	Berawan (Long Terawan)	to come	7	1631	liʔ	l i ʔ	846	
126	Moken	to come	7	1703	ŋadin	ŋ a d i n	36	
127	Hanunoo	to come	7	1798	balik	b a l i k	846	
128	Wuna	to come	7	719	mai	m a i	846	
129	Tetum	to come	7	719	mai	m a i	846	
