ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID	NewCogID	
1	Dutch	all	1	ɑlə	ɑ l ə	5	502	
2	Swedish	all	1	alː	a lː	5	502	
3	English	all	1	ɔːl	ɔː l	5	502	
4	German	all	1	al	a l	5	502	
5	Spanish	all	1	entero	e n t e r o	2	261	
6	Danish	all	1	æˀl	æˀ l	5	502	
7	Bulgarian	all	1	vsiʧki	v s i ʧ k i	3	164	
8	Greek	all	1	kaθe	k a θ e	7	34	
9	Romanian	all	1	tot	t o t	6	502	
10	Russian	all	1	fsʲe	f sʲ e	3	434	
11	Polish	all	1	fʃɨsʦɨ	f ʃ ɨ s ʦ ɨ	3	164	
12	Norwegian	all	1	ɑlə	ɑ l ə	5	502	
13	French	all	1	tu	t u	6	502	
14	Czech	all	1	fʃɪxnʲɪ	f ʃ ɪ x nʲ ɪ	3	414	
15	Icelandic	all	1	at͡lir	a t͡l i r	5	502	
16	Italian	all	1	intɛro	i n t ɛ r o	2	261	
17	Hindi	all	1	səb	s ə b	4	286	
18	Portuguese	all	1	todu	t o d u	6	502	
19	Spanish	all	1	toðo	t o ð o	6	502	
20	Romanian	all	1	ɨntreg	ɨ n t r e g	2	261	
21	French	all	1	ɑ̃tje	ɑ̃ t j e	2	261	
22	Italian	all	1	tutto	t u tː o	6	502	
23	Hindi	all	1	saːraː	s aː r aː	1	205	
24	Dutch	ashes	2	ɑs	ɑ s	10	264	
25	Swedish	ashes	2	asːka	a sː k a	10	264	
26	English	ashes	2	æʃ	æ ʃ	10	264	
27	German	ashes	2	aʃə	a ʃ ə	10	264	
28	Spanish	ashes	2	θeniθa	θ e n i θ a	12	550	
29	Danish	ashes	2	asg	a s g	10	264	
30	Bulgarian	ashes	2	pɛpɛl	p ɛ p ɛ l	8	146	
31	Greek	ashes	2	staxti	s t a x t i	14	158	
32	Armenian	ashes	2	moχiɾ	m o χ i ɾ	9	121	
33	Romanian	ashes	2	ʧenuʃə	ʧ e n u ʃ ə	12	550	
34	Russian	ashes	2	zɐla	z ɐ l a	11	229	
35	Polish	ashes	2	pɔpʲuw	p ɔ pʲ u w	8	146	
36	Norwegian	ashes	2	ɑsk	ɑ s k	-10	264	
37	French	ashes	2	sɑ̃dʁ	s ɑ̃ d ʁ	12	250	
38	Czech	ashes	2	popɛl	p o p ɛ l	8	146	
39	Icelandic	ashes	2	aska	a s k a	10	264	
40	Italian	ashes	2	ʧenere	ʧ e n e r e	12	550	
41	Hindi	ashes	2	raːkʰ	r aː kʰ	13	204	
42	Portuguese	ashes	2	sĩzɐ	s ĩ z ɐ	12	550	
43	Russian	ashes	2	pʲepɪlʲ	pʲ e p ɪ lʲ	8	146	
44	Dutch	bark	3	bɑst	b ɑ s t	19	609	
45	Swedish	bark	3	barːk	b a rː k	15	609	
46	English	bark	3	bɑːrk	b ɑː r k	-15	609	
47	German	bark	3	rɪndə	r ɪ n d ə	20	215	
48	Spanish	bark	3	koɾteθa	k o ɾ t e θ a	18	398	
49	Danish	bark	3	bɑːg	b ɑː g	15	609	
50	Bulgarian	bark	3	kora	k o r a	23	398	
51	Greek	bark	3	flios	f l io s	16	466	
52	Armenian	bark	3	kɛʁɛv	k ɛ ʁ ɛ v	22	444	
53	Romanian	bark	3	skwarʦə	s k w a r ʦ ə	23	373	
