ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long
t̪͡s̪ː,-,-,+,-,+,-,-,0,-,-,-,+,+,+,-,0,0,0,-,-,0,+
t̪͡θː,-,-,+,-,+,-,-,0,-,-,-,+,+,+,-,0,0,0,-,-,0,+
d̪͡z̪ː,-,-,+,-,+,-,-,0,+,-,-,+,+,+,-,0,0,0,-,-,0,+
d̪͡ð̠,-,-,+,-,+,-,-,0,+,-,-,+,+,+,-,0,0,0,-,-,0,-
d̪͡z̪̠,-,-,+,-,+,-,-,0,+,-,-,+,+,+,-,0,0,0,-,-,0,-
d̪͡z̪,-,-,+,-,+,-,-,0,+,-,-,+,+,+,-,0,0,0,-,-,0,-
d̪͡ð,-,-,+,-,+,-,-,0,+,-,-,+,+,+,-,0,0,0,-,-,0,-
t̪͡s̪ː,-,-,+,-,+,-,-,0,-,-,-,+,+,+,-,0,0,0,-,-,0,+
t̪͡θː,-,-,+,-,+,-,-,0,-,-,-,+,+,+,-,0,0,0,-,-,0,+
d̪͡z̪ː,-,-,+,-,+,-,-,0,+,-,-,+,+,+,-,0,0,0,-,-,0,+
d̪͡ðː,-,-,+,-,+,-,-,0,+,-,-,+,+,+,-,0,0,0,-,-,0,+
p͡ɸ̟,-,-,+,-,+,-,-,-,-,-,-,+,-,0,+,0,0,0,-,-,0,-
p͡ɸ̠,-,-,+,-,+,-,-,-,-,-,-,+,-,0,+,0,0,0,-,-,0,-
p͡ɸ,-,-,+,-,+,-,-,-,-,-,-,+,-,0,+,0,0,0,-,-,0,-
b͡β̟,-,-,+,-,+,-,-,-,+,-,-,+,-,0,+,0,0,0,-,-,0,-
b͡β̠,-,-,+,-,+,-,-,-,+,-,-,+,-,0,+,0,0,0,-,-,0,-
b͡β,-,-,+,-,+,-,-,-,+,-,-,+,-,0,+,0,0,0,-,-,0,-
p͡ɸː,-,-,+,-,+,-,-,-,-,-,-,+,-,0,+,0,0,0,-,-,0,+
b͡βː,-,-,+,-,+,-,-,-,+,-,-,+,-,0,+,0,0,0,-,-,0,+
ʈ͡ʂˤ,-,-,+,-,+,-,-,0,-,-,-,-,+,-,-,0,+,+,-,-,0,-
ɖ͡ʐˤ,-,-,+,-,+,-,-,0,+,-,-,-,+,-,-,0,+,+,-,-,0,-
ʈ͡ʂˤː,-,-,+,-,+,-,-,0,-,-,-,-,+,-,-,0,+,+,-,-,0,+
ʈ͡ʂːˤ,-,-,+,-,+,-,-,0,-,-,-,-,+,-,-,0,+,+,-,-,0,+
ɖ͡ʐˤː,-,-,+,-,+,-,-,0,+,-,-,-,+,-,-,0,+,+,-,-,0,+
ɖ͡ʐːˤ,-,-,+,-,+,-,-,0,+,-,-,-,+,-,-,0,+,+,-,-,0,+
t̪͡s̪ˤ,-,-,+,-,+,-,-,0,-,-,-,+,+,+,-,0,+,+,-,-,0,-
t̪͡θˤ,-,-,+,-,+,-,-,0,-,-,-,+,+,+,-,0,+,+,-,-,0,-
d̪͡z̪ˤ,-,-,+,-,+,-,-,0,+,-,-,+,+,+,-,0,+,+,-,-,0,-
d̪͡ðˤ,-,-,+,-,+,-,-,0,+,-,-,+,+,+,-,0,+,+,-,-,0,-
t̪͡s̪ˤː,-,-,+,-,+,-,-,0,-,-,-,+,+,+,-,0,+,+,-,-,0,+
t̪͡θˤː,-,-,+,-,+,-,-,0,-,-,-,+,+,+,-,0,+,+,-,-,0,+
t̪͡s̪ːˤ,-,-,+,-,+,-,-,0,-,-,-,+,+,+,-,0,+,+,-,-,0,+
t̪͡θːˤ,-,-,+,-,+,-,-,0,-,-,-,+,+,+,-,0,+,+,-,-,0,+
d̪͡z̪ˤː,-,-,+,-,+,-,-,0,+,-,-,+,+,+,-,0,+,+,-,-,0,+
d̪͡ðˤː,-,-,+,-,+,-,-,0,+,-,-,+,+,+,-,0,+,+,-,-,0,+
