
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES
817	Greek	I	42	eɣo	e ɣ o	240	7 3 7	XBZ	EGU	2	2.E.V 2.G.C 2.U.V	1.5 1.75 0.8	0	2
818	Armenian	I	42	jɛs	j ɛ s	240	6 7 3	AXN	JES	1	1.J.C 1.E.V 1.S.c	2.0 1.5 0.8	0	1
31	Greek	ashes	2	staxti	s t a x t i	14	3 1 7 3 1 7	ACYMBZ	STAGTI	2	2.S.C 2.T.C 2.A.V 2.G.c 2.T.C 2.I.V	2.0 1.5 1.3 1.1 1.75 0.8	0	4
32	Armenian	ashes	2	moχiɾ	m o χ i ɾ	9	4 7 3 7 5	AXBYN	MUGIR	1	1.M.C 1.U.V 1.G.C 1.I.V 1.R.c	2.0 1.5 1.75 1.3 0.8	0	3
51	Greek	bark	3	flios	f l io s	16	3 5 7 3	ACXN	BLIS	2	2.B.C 2.L.C 2.I.V 2.S.c	2.0 1.5 1.5 0.8	0	6
52	Armenian	bark	3	kɛʁɛv	k ɛ ʁ ɛ v	22	1 7 5 7 3	AXBYN	KEREB	1	1.K.C 1.E.V 1.R.C 1.E.V 1.B.c	2.0 1.5 1.75 1.3 0.8	0	5
93	Greek	big	5	meɣalos	m e ɣ a l o s	37	4 7 3 7 5 7 3	AXBYBYN	MEGALUS	2	2.M.C 2.E.V 2.G.C 2.A.V 2.L.C 2.U.V 2.S.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	8
94	Armenian	big	5	mɛʦ	m ɛ ʦ	37	4 7 2	AXN	MEC	1	1.M.C 1.E.V 1.C.c	2.0 1.5 0.8	0	7
115	Greek	bird	6	puli	p u l i	-50	1 7 5 7	AXBZ	PYLI	2	2.P.C 2.Y.V 2.L.C 2.I.V	2.0 1.5 1.75 0.8	0	10
116	Armenian	bird	6	tʰərʧʰun	tʰ ə r ʧʰ u n	48	1 7 5 2 7 4	AXMBYN	TERCYN	1	1.T.C 1.E.V 1.R.c 1.C.C 1.Y.V 1.N.c	2.0 1.5 1.1 1.75 1.3 0.8	0	9
