ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES
810	Dutch	I	42	ɪk	ɪ k	240	7 1	XN	IK	5	5.I.V 5.K.c	1.5 0.8	0	5
811	Swedish	I	42	jaːg	j aː g	240	6 7 1	AXN	JAK	19	19.J.C 19.A.V 19.K.c	2.0 1.5 0.8	0	4
812	English	I	42	aɪ	aɪ	240	7	X	A	6	6.A.V	1.5	1	6
813	German	I	42	ɪx	ɪ x	240	7 3	XN	IG	8	8.I.V 8.G.c	1.5 0.8	0	5
814	Spanish	I	42	ʝo	ʝ o	240	3 7	AX	SU	18	18.S.C 18.U.V	2.0 1.5	0	7
815	Danish	I	42	jɑj	j ɑ j	240	6 7 6	AXN	JAJ	4	4.J.C 4.A.V 4.J.c	2.0 1.5 0.8	0	4
816	Bulgarian	I	42	as	a s	240	7 3	XN	AS	2	2.A.V 2.S.c	1.5 0.8	0	2
817	Greek	I	42	eɣo	e ɣ o	240	7 3 7	XBZ	EGU	9	9.E.V 9.G.C 9.U.V	1.5 1.75 0.8	0	9
818	Armenian	I	42	jɛs	j ɛ s	240	6 7 3	AXN	JES	1	1.J.C 1.E.V 1.S.c	2.0 1.5 0.8	0	1
819	Romanian	I	42	jo	j o	240	6 7	AX	JU	16	16.J.C 16.U.V	2.0 1.5	0	16
820	Russian	I	42	ja	j a	240	6 7	AX	JA	17	17.J.C 17.A.V	2.0 1.5	0	3
821	Polish	I	42	ja	j a	240	6 7	AX	JA	14	14.J.C 14.A.V	2.0 1.5	0	3
822	Norwegian	I	42	jæj	j æ j	240	6 7 6	AXN	JEJ	13	13.J.C 13.E.V 13.J.c	2.0 1.5 0.8	0	4
823	French	I	42	ʒə	ʒ ə	240	3 7	AX	SE	7	7.S.C 7.E.V	2.0 1.5	0	7
824	Czech	I	42	jaː	j aː	240	6 7	AX	JA	3	3.J.C 3.A.V	2.0 1.5	0	3
825	Icelandic	I	42	jɛɣ	j ɛ ɣ	240	6 7 3	AXN	JEG	11	11.J.C 11.E.V 11.G.c	2.0 1.5 0.8	0	11
826	Italian	I	42	io	io	240	7	X	I	12	12.I.V	1.5	0	12
827	Hindi	I	42	mɛ̃ː	m ɛ̃ː	239	4 7	AX	ME	10	10.M.C 10.E.V	2.0 1.5	0	10
828	Portuguese	I	42	ew	e w	240	7 6	XN	EW	15	15.E.V 15.W.c	1.5 0.8	0	15
1	Dutch	all	1	ɑlə	ɑ l ə	5	7 5 7	XBZ	ALE	5	5.A.V 5.L.C 5.E.V	1.5 1.75 0.8	0	20
2	Swedish	all	1	alː	a lː	5	7 5	XN	AL	19	19.A.V 19.L.c	1.5 0.8	0	19
3	English	all	1	ɔːl	ɔː l	5	7 5	XN	UL	6	6.U.V 6.L.c	1.5 0.8	0	19
4	German	all	1	al	a l	5	7 5	XN	AL	8	8.A.V 8.L.c	1.5 0.8	0	19
5	Spanish	all	1	entero	e n t e r o	2	7 4 1 7 5 7	XMBYBZ	ENTERU	18	18.E.V 18.N.c 18.T.C 18.E.V 18.R.C 18.U.V	1.5 1.1 1.75 1.3 1.75 0.8	0	27
6	Danish	all	1	æˀl	æˀ l	5	7 5	XN	EL	4	4.E.V 4.L.c	1.5 0.8	0	19
7	Bulgarian	all	1	vsiʧki	v s i ʧ k i	3	3 3 7 2 1 7	ACYMBZ	BSICKI	2	2.B.C 2.S.C 2.I.V 2.C.c 2.K.C 2.I.V	2.0 1.5 1.3 1.1 1.75 0.8	0	17
8	Greek	all	1	kaθe	k a θ e	7	1 7 3 7	AXBZ	KADE	9	9.K.C 9.A.V 9.D.C 9.E.V	2.0 1.5 1.75 0.8	0	24
9	Romanian	all	1	tot	t o t	6	1 7 1	AXN	TUT	16	16.T.C 16.U.V 16.T.c	2.0 1.5 0.8	0	22
10	Russian	all	1	fsʲe	f sʲ e	3	3 3 7	ACZ	BSE	17	17.B.C 17.S.C 17.E.V	2.0 1.5 0.8	0	17
11	Polish	all	1	fʃɨsʦɨ	f ʃ ɨ s ʦ ɨ	3	3 3 7 3 2 7	ACYMBZ	BSISCI	14	14.B.C 14.S.C 14.I.V 14.S.c 14.C.C 14.I.V	2.0 1.5 1.3 1.1 1.75 0.8	0	17
12	Norwegian	all	1	ɑlə	ɑ l ə	5	7 5 7	XBZ	ALE	13	13.A.V 13.L.C 13.E.V	1.5 1.75 0.8	0	20
13	French	all	1	tu	t u	6	1 7	AX	TY	7	7.T.C 7.Y.V	2.0 1.5	0	22
14	Czech	all	1	fʃɪxnʲɪ	f ʃ ɪ x nʲ ɪ	3	3 3 7 3 4 7	ACYBCZ	BSIGNI	3	3.B.C 3.S.C 3.I.V 3.G.C 3.N.C 3.I.V	2.0 1.5 1.3 1.75 1.5 0.8	0	17
15	Icelandic	all	1	at͡lir	a t͡l i r	5	7 1 7 5	XBYN	ATIR	11	11.A.V 11.T.C 11.I.V 11.R.c	1.5 1.75 1.3 0.8	0	26
